Unnamed: 0,concentration,concentration.1,concentration.2,concentration.3,concentration.4,concentration.5,concentration.6,concentration.7,concentration.8,concentration
0,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999,7699074073.999999
1,6938271605.0,6938271605.0,6938271605.0,6938271605.0,6938271605.0,6925925926.0,6925925926.0,6925925926.0,6929012345.5,6926697531.0
2,6480709876.5,6480709876.5,6480709876.5,6480709876.5,6480709876.5,6480709876.5,6480709876.5,6464506172.5,6465277778.0,6460648148.0
3,6012345679.0,6012345679.0,6012345679.0,6012345679.0,6012345679.0,6012345679.0,6012345679.0,6011574074.0,6011574074.0,6006944444.5
4,5616512345.5,5616512345.5,5616512345.5,5616512345.5,5616512345.5,5616512345.5,5616512345.5,5593364197.5,5593364197.5,5593364197.5
5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5,5203703703.5
6,4856481481.5,4856481481.5,4856481481.5,4856481481.5,4856481481.5,4856481481.5,4856481481.5,4859567901.0,4859567901.0,4859567901.0
7,4520833333.5,4520833333.5,4520833333.5,4520833333.5,4520833333.5,4520833333.5,4520833333.5,4520061728.5,4520061728.5,4520061728.5
8,4208333333.0,4208333333.0,4208333333.0,4208333333.0,4208333333.0,4208333333.0,4208333333.0,4220679012.000001,4220679012.000001,4217592592.5000005
9,3874228395.0,3874228395.0,3874228395.0,3874228395.0,3874228395.0,3874228395.0,3889660493.500001,3896604938.0,3896604938.0,3898148148.0
10,3628858024.5,3628858024.5,3628858024.5,3628858024.5,3628858024.5,3628858024.5,3650462963.0,3650462963.0,3650462963.0,3650462963.0
11,3371913580.0,3371913580.0,3371913580.0,3371913580.0,3371913580.0,3371913580.0,3398919753.0,3388888888.9999995,3388888888.9999995,3388888888.9999995
12,3138117284.0,3138117284.0,3138117284.0,3138117284.0,3138117284.0,3138117284.0,3148148148.5,3144290123.5,3144290123.5,3144290123.5
13,2913580247.0,2913580247.0,2913580247.0,2913580247.0,2913580247.0,2913580247.0,2933641975.0,2933641975.0,2933641975.0,2933641975.0
