0: 1882,3908
1: 982,660,2776
2: 1934,918,3398,870,3445,3628
3: 202,2295,1070,717
4: 452,3256
5: 210,2442,4048,1200,1853,4823
6: 797,1525
7: 4504,1866,4173,1252,3239
8: 1663,809,1096,2257,2159,2742
9: 4221,2266,3314,1161,282
10: 1234,3336,1775,4439,2895
11: 3169,4675,3211,3225
12: 3545,3190,1822,2600
13: 2391,4740,2113,2344
14: 2819,3163
15: 1672,624
16: 1463,4601,3801,2630,53,1862
17: 1676,3926,1151,1408,3876,3240
18: 1884,704,3682,4576,3465
19: 4246,3924,2147,2034
20: 2536,840,1103,1869,4580
21: 965,1732,4911,332,4369
22: 2245,1116,110,4032
23: 220,4070,2939
24: 3104
25: 5034,4134,3881,4333,4138
26: 1479,2958,3582,3936,4196,40
27: 2939,4070,2220,3418
28: 2360,1290,3699
29: 4152,1199,2434
30: 2802,56
31: 837,2743,890,4306,1654,1671,136
32: 1654,1671,1166,4380,2355
33: 1855,3085,2646
34: 1176,475,2660,2941,974
35: 80,743,829,2099
36: 3512,1001,1458,530,4276
37: 266,574,4341
38: 2712,4280,1493,1414,3964
39: 3215,2180,852,4537
40: 3677,1215,3936,26
41: 1881,1506,1234,3336,2886
42: 3078,1269
43: 2222,267,2232,1066,4126
44: 2594,689
45: 2662,3132,3825,4119,1813,4355
46: 3362,3942,2490,3367
47: 401,4461
48: 4075,709,4818,973,3344
49: 3353,1597,570,2760,4028,4390,1767
4965: 414
51: 3678,1364,3246
52: 101,3296,4434,3323
53: 1862,888,16,2630
54: 2046,1701,1587,2027
55: 887,3259,653,2127,511
56: 3086,30,2802
57: 3719,4611,3983,4651,3322
58: 2722,3110,2052,3966,4534,292
59: 4439,1328,3074,3704,2831
60: 4484,1157,2904
61: 3696,650,2022,2917,1331
62: 2314,1504
63: 1686,879,1861,4759,609
64: 2319,3266,2601,4073,2088
65: 2411,875,4517,1944
66: 671,647,1998,3136
67: 378,4441,4037,2201,1946,4415
68: 1113,1072,3657,3836,1704,3066
69: 2690,844,500,3061,2816
70: 
71: 834,2989,2097
