0: 1424,2723,1189,2919
1: 1930,325,1551
2: 1938,4614,4473
3: 233,3306,4711,1653,794
4: 2774
5: 3436,1479,1474,4710,4003,1441
6: 2141
4620: 2718,3633,3847
8: 4348,3833
9: 3888,1134,4540,3280,1985
10: 2869,3661,2944
11: 1739,1743,2174,3412
12: 4675,1646,2646,2497,2174,4234
13: 3655,1981,978
14: 1854,541,2279
15: 161,719,75,3174,3879
16: 166,1528,2500,3839
17: 2395,3810,2674,1676,4683
18: 1788,4596,4312
19: 2336,4642,1727,3050
20: 3153,704,2536,3987
4585: 2682,628
22: 2229,2712,3793,91,4032
23: 543,3039,2465,601,476
24: 3585,1171
25: 4636,751,2764,1841,1201
26: 2540,4531,1441,1637
4626: 4162,3500,3471,34,1458,489
28: 3699,2322,4250
29: 3170,3933,848,3133
30: 3400
31: 1013,572,3724
32: 334,1068,4296,3490,4330,4563
33: 4110,2698,4122,841,2882
34: 4538,2391,3500,4626,1458,4369
35: 508,3624,4483,4606,1728
36: 4085,3079,2181,3411
37: 2775,464,139
38: 4193,4625,2456,456,2327,3873
39: 2940,2620,651
40: 2736,3149,1381,3524,583,3451
41: 1332,1563,2702,1010,1598,2339,433
42: 43,4516,2454
43: 42
44: 2383,3851
45: 3278,912,719,1723,3879
46: 281,343,129,4715
47: 3184,3698,2465
48: 3133
49: 738,1948,4305,3794
4807: 1436,4456,4770,2854,906
51: 3664,542,1213,1681,2834,3073
52: 3296,1984,2155,1059
53: 4601,4363,2500,4049,2825,1528
54: 1811,196,1650
55: 2563,4332,424,1016
56: 4056,4594
57: 65,1515,2530
58: 3497,2510,2995,908
59: 2944,2848,251,2949
60: 4484,3563,4736,2971
61: 824,3399,3189,2022
62: 3572,3274
63: 2435,1602,3345
64: 4094,4598,4792,2558,243
65: 2411,3464,57,2086
66: 665,2881,2795,1775
67: 4716,3642
68: 4416,3964,3886,4198
69: 1303,1578,3341,4065
70: 
71: 544,1880,3188
72: 2695,3353,4490,914
73: 862,2548,2964
74: 2810,2838
75: 3132,284,4560,237,161,15
76: 4364,4039
77: 3496,3211,4680,1343,1819
78: 4423
79: 3887,3914
80: 2632,2423,4545,4811,2799
81: 941,2210,2764,605,1841
82: 479,1162,1232
4711: 4315,3651,392,233,3,1653
84: 4641,4395
85: 3079,1838,2889,1031
86: 1680,4321
87: 4511
88: 3627,4523,994,447,4642,1727
89: 1836,2004,2272,2392,3832
90: 1426,2302
91: 332,3793,2712,2168,22,4032
92: 4671,4498
93: 4204
94: 991,4295,3446,3491
95: 4516,1282
96: 
97: 3342,4485,1640,1099
98: 1372,2212,131,1629,1288
99: 100,3262,874,4329,4544
100: 99,874,3164,229
101: 3351,4469,3323
102: 3365,4758,1469,1862,3919
103: 
104: 
105: 2437,295,851,2519
106: 1446,2320,4677,3212
107: 2928,153,2715,3550
108: 1241,4226,414,1780,1704
109: 3752
110: 4573,3227,2607,729
111: 3697,455,2734,3855,2127
112: 4114,3059
4791: 2453,115,607,2278
114: 178,520
115: 2453,4791,1317
116: 2470,892,3354
117: 2971
118: 3183,557
119: 483,1868,3790,2441
120: 4550,396,982
121: 3924
122: 3193,4090,2182,169
123: 633,4242,364,917
4680: 3496,77,3211,2125,419
125: 2469,3213,2234
126: 
