0: 3593,1615,2506,1052,3519,1696
1: 2379,2716,1435,4445
2: 1938
3: 1195,526,4484,3566
4821: 2484,896
5: 4337,711
6: 3493,906,4687,1371
7: 3813
8: 2106,1070,3651,4736,1297
4728: 853,419,3485,633
4688: 3600,2776,1920,3007
11: 4362,2571
12: 3138,4228,2712,4238,2563,153
13: 4398,1747,4450,775,4665,2374
14: 4309,165,489
15: 4059,1969,1468
16: 1714,2182,2185,2264
17: 762,2393,846,3727
18: 1079,2990,2599
19: 1631,1529,4115,2446,79
20: 3842,188,4280,1878
21: 3055,3577,2483,428,4121
22: 4043,673,4576
23: 608
24: 2219,1126
25: 235,1223,3436,3582,2839
26: 366,4213,4360,1567,668,2636
27: 1033,1458,4816,2050
28: 1440,795,1896,508,718,3767
29: 
30: 3304,2022
31: 669,3091,2900
4419: 1237,4022
33: 653,2393,4752,2493,2579
34: 4616,692,3290,2168
4478: 1208,2328
36: 4732,3725,3762,2939
37: 
38: 1281,2010,4229,3850,2287
39: 3790,907,1956,466
40: 4531,4003,971,3009,4691,4640
41: 3768,2881,4192,1089,2866
42: 
43: 4796,4075
44: 910
45: 3532,2145,3879,4103
46: 3776,1566
47: 4522,4115,3389
48: 3303,2494,3560
49: 1949,4670,111,3769,1080
50: 3283,1479,1687,3451,2066
4657: 273
52: 4354
53: 1448,166,3294,1534,1974
4638: 4648,557
4711: 1628,3651,1297
56: 2945,4070,1132,4489
57: 2553,4734,1515
58: 1134,3966,2878,1775
59: 3006,4364,1099
60: 485
61: 
62: 3791,2643
63: 657,2727
64: 2588,2090,193,4786,4302,867
4324: 2868,558,4223
66: 2426,4332,319,3836
4608: 1386,1281,4229,3662,2147,4402
4318: 2182,2185,3135
4666: 1921
70: 651
71: 2840,1935,4009,1513
72: 3264,2773,2647,175
73: 799,4253,542,2176
74: 4489,1331,1361
75: 3505,2086,1935
76: 3663,363,3137,3521
77: 4199,1558,3087,4660
78: 1676,2674,389
79: 2446,2485,19
80: 3990,3441
81: 3124,1556,4243,333,3670
82: 1326,4496,1918
83: 3045,4146
84: 
85: 564,207,860,550
86: 2026,1680,4073
87: 4423
88: 
89: 2272,4263,3938,4272,2822,3164
90: 
91: 1870,3657,1241,2649
92: 1109,2654,2831,1028,3891
93: 476,3348
4631: 3208,1668
95: 3445
96: 2387,172,3684
97: 4180
98: 294,3016,1225
99: 1925,1845,1649,3846
100: 4023,4398,1747,937
101: 1916,164
102: 3983,2582,161,3199
103: 4603,951,2548,3255,790
104: 1984,1504
105: 
4346: 2596,3564,3899,439
107: 444,588,2698,1739,2853
108: 3156,1275,3836,3878,4740,319
109: 2088,2174,2844
110: 2540,200,3102,127,246
111: 3769,3087,1080,49,1558
112: 2315,4301,119
113: 2844,2334
114: 139
115: 3383
116: 2130,2754,4096,3394,4491
4503: 4766,1685,4562
118: 641,4052,4435
119: 4301,112
120: 2428,2740
