0: 2566,1459,4369,752,4619,1397,503
1: 4811
2: 
3: 2482
4: 3503
4202: 
6: 763
7: 43,42,4249
8: 3572,1121
9: 4381,3930,1175,1206
10: 1175,1196,2547
11: 3370,1555,1713
12: 1885,2596,891,294
13: 2953
14: 517,3196
15: 3689,1406,4195,3232
16: 987
17: 4675,4502
18: 2600,3836,4803,2969,3428
19: 820,2157,3494
4334: 1136,1023,1241,317,2851,725
4820: 4008,1734
22: 2759,3817,3725
23: 2046,3184,2218,2513
24: 2081
25: 2025,4065,2095,1944
26: 2375,3882,2865,2813,739
4624: 997,4516
4800: 1481,3456,2276,1462,2742,2109
29: 
30: 3605,2085,786
31: 837,536,4224
32: 2505
33: 4427,1396,4368,4724,2640
4767: 2402,3744,3818
35: 2450,751,307,4259,2442
36: 672,3718
37: 1542
38: 390,3845,2125,4667
39: 3111,1975,4529
40: 2820,3801,2298
41: 1695,671,3074,2170,1297
42: 43,7
43: 42,7,2936,1966,4249
44: 1746
45: 3126,1443,1586
46: 1535,179,4722
4592: 4080
48: 3303,1412
49: 4799,2635,4605
50: 2111,2723,172
51: 79
4591: 1842,2857,4149,4228,1134
53: 1622,214
4341: 145,3065
55: 3855,943,789,3975,4659
56: 3999
57: 2038,183,3322
58: 2754,3042,3105,4337
59: 1929,3542,791
60: 339,619
61: 
62: 
4773: 3618,4185,4050
64: 4742,1646
65: 357,3294,3280,3951
66: 2339,4209,4439,2878,76
67: 713,3557,895
68: 3962,2952,916,3793,3057
69: 4634,1637,1694,4213
4142: 1657,1212,1659,3163,2632
71: 1265,3983,4158
4380: 1430
73: 2719,592,2810,979
74: 979
75: 2800,1944,2095
76: 2878,3251,4209,66,227
4213: 3446,4634,69,372
4721: 4108,553
79: 51
80: 2315,4510
4609: 3780,167,3879,3047
82: 1498,3106,1301
83: 1543,4694,3634
84: 
85: 484,766
86: 4805,2545,1895
87: 
88: 315,1422,3887,2512
89: 1031,3734,4524
90: 2064,2268
4709: 2934,1240,1249,4390,688
92: 2440,3472,2154,1160
93: 2701
94: 2799,3407,3208
95: 1015,3548,4287,3406
96: 4764,4811
4640: 4023,2839
98: 3559,4399,3531,3155,2477,4625
99: 1476,1993,282,2510,2241
100: 550,1393,3139,1522,3830
101: 726,3845,3543,4163,2125
4468: 4068,2474,1416
103: 3194
104: 
105: 3587
106: 1283
107: 1180,2229,1909,4740,1770
108: 3379,2842,507,364
109: 3703,2468
110: 3198,2024,3938,4371
111: 2682,3152
112: 651
113: 1084,1146
114: 2388
115: 
116: 1357,2118
117: 4649,664
118: 2058,3435,2064
119: 3180,4373,1115
120: 4452,4233
121: 3129,2033,1627
122: 154,2625
123: 2827,313,4340
4365: 2671
125: 4772,2833
126: 238
4652: 4568
128: 2009,2704,2663
129: 
130: 3371,3631
4811: 1,96
132: 1942,624
4280: 1068,2853,4596
134: 742,2984,3925,2702
135: 1022,3881,2199,1346
136: 311,3418,1025
137: 4521,635,662
138: 2755,4132,4484
139: 
140: 2726
141: 1832,2720,3441
4661: 534,1500,4745,3580,4635
143: 2191,784
144: 4526,3896,2403,1649
145: 4341,4141,3859,1288
146: 1350
147: 3963,2899
148: 3077
149: 
150: 1309,3243
151: 4632,2598,3205
152: 944,2625
153: 4488,1520,3287,3480,3785,1174
154: 2731,122
155: 888,1994,1888
4683: 4541,3695
157: 2955,1141,3737,3110
158: 3491
159: 3272,3334,1488
160: 774,2961,385
161: 2017,3009
4511: 
163: 3725,4486,1730,4562,2471
164: 4813
165: 2439,1000
166: 1556
167: 4609,3780,547
168: 3687,4096,2623
169: 3148
170: 3150,3414
171: 3856,2103,2695
172: 50,4588,1260
173: 2483,2350,4371
174: 1211,3771,3284,1503,3110
175: 2063,442
176: 3904
177: 1395,573,4258,588
178: 
179: 4722,3808,1983,1521,46
180: 
181: 3190,2486
182: 1950,2995,3105,3497
183: 57,2038,4256,707,3653
184: 815,794
185: 
186: 2479,1391,3950
4776: 3312,3197
188: 2298,1604,2230,3583,2480,304
4684: 1489,602
190: 1112,4659,3836,4680,1780
191: 542
192: 2894
193: 4088
194: 
195: 3132,4318
196: 4167,650
197: 3247,3274
198: 2056
199: 1513,1363
200: 639,1788,3290,3777,2872,2013
201: 3605
202: 3542,2449,3245
203: 822
4598: 2263,3338,854,4530,3431
205: 2925,2701
206: 
4405: 4645,4037,4697
208: 2821
209: 3739,4407,2061
210: 2210,2839,3012,4071,1326
211: 
212: 4682,1334
213: 1276,2813,2303,937,2809
214: 3476,53,2995
4651: 4274,4041,3341,1998,2128,3677
4483: 1772,1728
217: 4140,3359,877,4548
218: 778
219: 1287
220: 1681,3402,4501,2835
221: 2928,1029,1022,939,1600
222: 
223: 1636
224: 4364,4797,4279
4232: 834,1460,2184
4606: 3680,1962
227: 3447,1598,76,3251
228: 3812,4578,581,3213
229: 846,705,2213,1040
230: 2657,2193,820
231: 2906,3099,330
232: 709,733
233: 1356,2073
234: 1217,1404,3767,274
235: 1675,2312
236: 3549
237: 2340,4293
238: 126
239: 3471,1375,3066,2004,2245
240: 759
241: 3912,2557,1007,4582
242: 4121,4075,4188,4751
243: 4761
244: 297,1119,4740,2277,3227
4512: 1987
246: 3438,304,292,1794
4790: 4430,3493,4797
248: 3643,571
249: 2147,3672
250: 3699,2386
251: 
252: 3394,4491,2097
4129: 3416
254: 3534,2140,4792,1425
255: 965,2771,365,2823,2207
256: 2776,2410,2951,4376
257: 1435,1382,4276
258: 468,2330
259: 2196
260: 3166,3588,4706
261: 
262: 4807
263: 300,1762,1849,2175,726
