0: 1617
1: 918,2616,2673,4085
2: 95
3: 2992
4821: 3358,2930
5: 1076,802,4700,1853
6: 2043
7: 1252,3732,3725
8: 2482,4145,2365
4728: 553,1849,2570,4086,4238
4688: 4353,2740
11: 4057,3794,113,3800
12: 3171,1849
13: 1968,1687,565,3750,1479
14: 3898,4309,4306,1733
15: 1139,3132,4096,4243,4547
16: 1099,3040,4797,1410,3983
17: 2319,4742,2724,1771,1907
18: 456,3391,4159,4455
19: 2519,4684,2511,2147,2223
20: 3357,857,937,1116
21: 4309,4306,3700,436
22: 4043,4309
23: 2525,4570
24: 
4153: 2516
26: 3670,1381,964
27: 2240,431
28: 346,508
29: 
30: 2838,1347
31: 2240,2465,4249
4419: 4592,4022,393
33: 4088,1806,3985,1771
34: 2872,2241,726
4478: 574
36: 3520,3984,4172
4083: 3343
38: 368,1086,2648
39: 4295,4812,2815
40: 3881,506,3173
41: 2775,3203,689
42: 2454,1565
43: 2686
44: 
4028: 3328,4139,4088,3405
46: 2624
47: 
48: 2186
49: 424,4416,4368
50: 229,1226,4062
4657: 535,1992,3221
52: 3901,83
53: 4589,4586,2426,1183,3844,1063
4638: 851,1589
4711: 3437,463
56: 3197
57: 1957,4636,1622,453,3009
58: 3232,4691,4337
59: 3361,4013,4790
60: 159,514
61: 
62: 181,4389
4645: 3445,4796
64: 109
4324: 1172,1139,948,3883,2609
66: 962,438,1174
4608: 4197,4392
4318: 4201,4797,4597,2326,525
4666: 
70: 382
71: 535,4759
72: 227,2155
73: 1828
74: 2469,3489
75: 195
76: 3137,1958,2826,767
77: 2371,2965,683,2714,4015
78: 
79: 1132
80: 1942
81: 1114,3781,1886,4130,4100
82: 3218,3061,1185
83: 52,4736,3456
84: 2527
85: 2809
86: 3028,722,696
87: 2476,4737,2472,4808
88: 
89: 911,1517,4505
90: 
91: 1788,4686
92: 2532
93: 4327
4631: 168,4764
95: 1612,2
4169: 1050,1125
97: 1813,4630,2141
4177: 3450,4441
99: 2732,4463,4766,808,4185
100: 304,729,200,2857,4709
101: 3829,4704
102: 1751,3186,2859
4743: 130
104: 1300
4155: 2788,2614,889
4346: 785,352,3332
107: 190,1198,3858,4044
108: 297
109: 64,3083,3384,1960
110: 2327,3882,2080,1864,3715
111: 4479,3848,4241,340,1719
112: 2522
113: 2768,3800,11
114: 
115: 
116: 
4503: 168,2991,4553
118: 3400
119: 4301
120: 4755,3407,2428
121: 4000,3817,799
122: 4424,2654,363
4733: 131,3728,678,1715,3709
124: 2266
125: 1765
126: 1797
4198: 1240,263,1844,2391,217
128: 781,3542
129: 3776,3887
130: 4325,4743
131: 3728,4733,1528,3709,3534
4275: 4744
133: 326,736,4385,2783
134: 2615,3102,4767,1575,2128,1463
4566: 4446,2187,4217
136: 613,1696,2590
137: 3022
138: 469,3051,3011
139: 
4640: 4499,3349,4712,1189,3556,775
141: 1918,3552,4184,4634,2515
4410: 2019,3242,1107
4368: 4416,3211,49,653
144: 699,2207,1522,4404
145: 4731
146: 3828,1285
147: 3638
148: 4084
149: 1203,4766
150: 757,4009,1211,4382,513,3940
151: 525,987,2035,2326,1053,3458
152: 
153: 1871,3211,4726,3338
154: 3539
155: 3081,2224,3154,3287,580
4701: 3821,1425,1146,4787
157: 2642,4282,3227
158: 
159: 60,2341,2440
160: 614,1243,2031
161: 2553,4636,1972,1622
162: 3956,2233
163: 1455,198,3483,4822,2597
164: 1486
165: 4074
166: 2562,1840,717,2119
167: 832,2416,2350,2024
168: 3916,4503,4631
169: 3783,192
170: 3919,1695,2116,908,1888
4626: 972,744,3372
172: 407,1873
173: 3786,1388,221,733
4745: 2418,841,4762
175: 3854,478
176: 
177: 2543,993
178: 1544
179: 1676,3222
180: 2811
181: 62,4389,1064
182: 1598,4406,640,3252
183: 3645,549,598,3654
4611: 2116,2075
185: 3434,3521,4413,1037,4027
186: 3175,1674
187: 1652,3739
188: 4505,2272
189: 4190,2357,3374
190: 107,1198,4094
4729: 1916,442
192: 169,397,707
193: 1597,4423,3279,552,830,3926
4756: 1266,4481,2809
195: 1487,4345,75
196: 4776,2091,533,2785
197: 4680,1916
198: 3483,332,163,2310,4822
199: 4491,2746,4429,2044
200: 100,1022,2857,1747,1926
4772: 2689,872
202: 2751,4319
203: 3100,3736,2631
4296: 2673,2813,1779
205: 3560,1133,2993,1854,2771
206: 1156,322
207: 2919,4440,3262
208: 
4427: 4302,1555,2090
4099: 1933,1309,4595
211: 3013
212: 1259,2145,1469,3347,1091,3365
4364: 893,2591
214: 3521
4030: 2205,1429,1293,777
216: 2150
217: 4198,1844,725
4086: 2570,4728,553,2563,3878
219: 1919,789,3087,2357,4199
220: 2585,4564,2890
221: 3267,2208,3786,173
222: 1358
223: 2903,1430
224: 2442,971,3923
225: 316,3007
226: 1182
227: 2866,72,455
228: 4810,927,1541
229: 50,3426
230: 2082,4197,3662,3893,3183
231: 
232: 
233: 4132,501
234: 1795,3846,482
235: 643,712,3922
4781: 925,1353,3058
237: 1969,2342,3849,2086,2767
238: 2197
239: 4183,1528,2615,4767,1302,2459
240: 2487,1671
241: 541,2355,3698,4093,318
242: 2716,1779,1329,4224
243: 2649,1719,3848,367
4742: 2319,17,4244
4477: 1117,2299,2017
246: 3105,4207,1562,4038
247: 4726,3338,1019,3225,579,2871
248: 
249: 3400,3389,4453
250: 1473
251: 2598,944
4287: 3486,1273,4504
253: 983,1178,1230
254: 619
255: 1432,565,1970,727,3948
256: 4584,4214,2284,2696,1757
257: 2677,1866
4190: 610,189,3374
259: 2498
260: 3597,1015,2997
261: 
4204: 
263: 4198,576,1850,2629,2391,3379
264: 
265: 3080,521
266: 1746,3679,2296,4800
267: 753,3597,1015,2723
268: 4469,2654,3768
269: 871,647,1024,3665
270: 1878,878,2660,1838
271: 1491
272: 1883,1798
273: 1817,718
274: 1808,1883,3208,1304
275: 1474,4462,1918,466,1390
276: 2339,3531,1380,3476,1598,529
277: 1826
278: 1056,1757,2696,3610
4288: 3530,352,4769
280: 2868,1251
4246: 2302
282: 1688,4323,933,4125
283: 3661
284: 2989,500,4116
4530: 2437,3317
286: 
4309: 21,4306,22,14
288: 1163
4817: 3909,585,1872
4695: 
4614: 2049
292: 4712,1189,304,729,4398,4138
293: 
294: 3069,868,939,432,402
295: 
4058: 4673,830,2644,1858
297: 1072,4578,108,3050,2293
298: 3323
299: 4615,2041,2288,534
4804: 3912
4769: 1293,3530,4288,1429,3016
4659: 340,1719,1570,367
303: 4587,3366,540
304: 100,729,1747,292
305: 3993,4705
306: 
4577: 518,3372,2066,3109,479
308: 1871,2429,653,1842
309: 3580,3418,854
4582: 2384,1434,4081,1013
311: 4077,556,3639,3968,1829,4093
312: 3620,3348,4300
313: 4362,4719
314: 4528
315: 2307,343,3611
316: 225,2757
317: 444,836,1904,1595
318: 4768,241,3698,4093
4015: 2714,683,77,2649
320: 
321: 1601,4564,4069
322: 206,3901
323: 4171
324: 
4592: 1979,2017,4419,4022
326: 133,1216
4680: 197
328: 400
329: 1725,1311
4100: 701,3781,1114,81
331: 1670,1638,2379,2089,860
332: 1706,1882,198,2310
333: 1856,583,3420
334: 4376,4461,1693,2015
335: 
336: 509
337: 2556
338: 4444,2526,1200,2403,732
339: 914,2775,2866,455
340: 2711,4659,1719,4241,111
341: 
4786: 2644,4559
343: 3611,2307,315,782
344: 4517,2635,1161
345: 3198,3621,978
346: 28,3589,3624
4049: 3751
4333: 654,1657
349: 1091,3365,4274,1315
350: 2445,3632
351: 4453,3627,2302
352: 785,1372,4346,4288,3359
4203: 636,3388,4775,758
354: 3111,3582,4734,2225,864,4784,2052
355: 834
356: 1438,1696
357: 4064,2931
358: 920,4790
359: 1442,4757
360: 1386,3024,2041
361: 
362: 3401,2977,2727,1703
363: 473,2911,122,2654,3891,4014
364: 917,2793,708,4163
365: 3756,4252,4391,4531
366: 1284,4360
367: 4659,1719,243
368: 1086,1107,3629,38
369: 1052,626
370: 
371: 2845,2103,4715,1149
372: 2877,2083,4481
4070: 
374: 1501,2752,4527,3987
375: 948,3358
376: 
377: 3947
378: 412,4543
4194: 4441
4325: 130
381: 4755,3407
382: 70
383: 3905,1232
384: 4771,2534
385: 1074,3107,3814
386: 3946
4654: 3648,3629,1107
388: 3455
389: 4819,3279,2588,3926
390: 3290,3391,3156,3315,4542
391: 3820,793,4454
4387: 1692,3809,3810,1753
393: 1352,4419,627
394: 628,995,3705,1044
4801: 4547,1172,1556,2520,844
396: 982,3642,1551
397: 2894,192,3207
4110: 4761,2311,2088
399: 2510,1972,551,2553
400: 328,2983
401: 4143,4152,3952
402: 432,939,730,294
403: 2669,4383,4121,924
