0: 1144,3241,1697,660,4610
4324: 405,1682
2: 
3: 944
4: 4604
3692: 3560,220,3466,2993
6: 
7: 4287
8: 
9: 65,871,3977
10: 610,1556,750,632
11: 3313
12: 4728,984,1822
13: 2019,2918,3786,530
14: 3690,4311,3125
15: 2271,3719,1639,3857
16: 1702,1076,4795
17: 1192
18: 2013,2970,1616,1819,865
19: 886
3685: 4586,4391,3155,4551,2477
4820: 3664,301,3676,1585,4658,3686
22: 1693,2349,3560
23: 30,4420,3213
24: 
25: 2450,437,4801,2820
26: 422,965,383,255
4624: 460
4800: 4267,2282,3006,4781,3956,940,3661
3923: 1622,2369,679,818
30: 23,2046
31: 1892,3217
32: 2033,1310,36,1001
33: 2418
4767: 1320,3563,2782,856,2949,324
4097: 2300,2146,552
36: 3716,32,1001
37: 998
38: 2250,708,4497
39: 827,3633
3979: 640,1205,1496,4637
41: 513,182,1548,4209,3884,1410
42: 4614,1828,4645
43: 3666
44: 3179
45: 1944
3875: 4559,1386,2599,2168
4592: 2796
48: 3271,1499,519
49: 2769,3403,1372,3408,4149
50: 4520,695,4444
51: 773
4591: 2724
53: 3434,1864,3436,1503
4341: 2440,1384
3777: 1019,2599,4036,769,1106
56: 2058
57: 4158,143,3042
58: 4551,1127,3609
59: 794
60: 4251
61: 2798,74
62: 574,175,3160
4773: 2078,2216,3849,3709,1174,1844,1567,3640
64: 4234
65: 871,1598,9,3977,1958
66: 1958,380,4209,411,3681
67: 505,350,96
68: 1594,1176
69: 4289,161,4723,1877,1918
4142: 4619,1262,3063,1655
71: 1351,170,2017,792,4775,2340
4380: 3750,311,4810,492
73: 1281,121,1705
74: 1654,2798,61
75: 372
76: 1842,2280,3712
4213: 1863,1153,384
4721: 969,2996,4241,2903,534
79: 1361,1654,2798
3806: 449,3055
4609: 2047,2616,2207
82: 3649,3345,1560,1235
83: 569
84: 2092
85: 1893,4700,4051
86: 4083,4242,2211,1078
87: 2007,3648
88: 1727,1312,1608,4058
89: 1738,2344
90: 2260
4709: 2636,1194
92: 3537,3930,4304,717
93: 
94: 3021,2107
95: 2377
96: 505,67
4640: 1016
3718: 3386,2112,951
