0: 
1: 
4450: 1637,1910,605
4812: 
4: 3805
5: 216,605
6: 1026,496
4620: 2423
8: 1096
9: 1202,406,1642,3807,1343
10: 1544
11: 4511
12: 4527,2103,3161
4264: 3032,3812,1673
4608: 340,3855,1606
15: 
16: 777,3710
3574: 3593,642,4816
3591: 1884,1529,4163
19: 2176,3778
20: 3775,3626,4726
21: 3655,4569,2856,484
4015: 3823,3968
23: 857,655,1757,756,633
24: 356,483
25: 1144,3229,694
26: 235,4766
27: 2505,261
28: 2930
29: 93
30: 4522
31: 3721,918
4108: 2125,830
33: 1916,4704,1860
34: 3410,1734
35: 
36: 4167,4461
4088: 
38: 1086,1778,649,3171
39: 2252
40: 1484,648
41: 2075,463
42: 
4669: 4151,2295,1850
44: 
45: 3547,4547
46: 2801
47: 
48: 3417,2743,1999,1395,2634
49: 4405,1121,2280,373,927,4571
50: 
4776: 3620,691,3874,3411,342,3373
52: 3704,1799,2329
53: 3756,3480
3775: 3626,20,4726,4578
4306: 1696,4395,4257
56: 886,3145,2338
57: 2005,3915,1453,2866
58: 2738,3958,2233,3336
59: 150,4549
60: 218,4767
4539: 3097,4665
62: 584
63: 3535,3322,2057
4228: 4028,3714
3769: 632,297
66: 580,3807,1762,3709,1642,390
67: 1256,4224
4304: 3963,4795,1461
69: 4203,1231,3319,2424,4823
3787: 3804,4355
71: 3867,4781,892,224
72: 1062,1249
4103: 273,2466,1385,4763,3420
74: 644
75: 4119,3339,1063,2618
76: 932,3665
77: 289,3959
3819: 3811,2294,950
79: 4650
80: 4777,2067,1212
4367: 4612
82: 4765,2441,2976
83: 1797,2063,4533
84: 2819,509,4818,4811,4796
85: 165,4462
86: 2000
87: 
88: 4666
3692: 
90: 4427
4821: 3815,3114,4344
4616: 767,551,4691,3899,4159,1134
93: 29
4041: 4231,987,2898
95: 2951,613
96: 3368
97: 1030
98: 1888,3582,2510
3758: 1485,2615
100: 3933
101: 3859
102: 1862,1002
103: 3293,1081
104: 117
105: 299
106: 784,2755
107: 3854
4768: 4583,4313,4739,2263,2064,4167,854
4167: 4063,4583,4768,36
110: 4451,795,3355
3908: 2590
112: 4644,3656
113: 2159,4780
3817: 188,3417
3864: 2025,1334
4662: 1507,1896
117: 104,4681
118: 3206
3725: 2645
120: 4260,2002,2111
121: 891,3746,1240,2070
4097: 2845,4514,1891
4455: 3976,3870,3480,3612
124: 905,2672,1141
125: 1547,886,3605,4783,1421,2338
126: 129
127: 785,1520,4047
128: 
129: 126,4423
4668: 1263,1604,4573,3691,4709
131: 2101,4303
132: 4087,544,4693,844
133: 4803,683
134: 2127,3102,2225
4665: 4539,3097
136: 3321,1458,3032
137: 
4325: 2152
4067: 819,3992
140: 3076,192,1446,3080
141: 453,598,2534
142: 
143: 420
144: 2748,4640,3691,1604,4196
145: 3334,646
4802: 542,1953,945,3778
147: 
148: 2979
4787: 408,884,2032,3334,2353,290
150: 59,2744
3710: 16
152: 2680
153: 2272,4308
3832: 4297
3583: 1873,334
156: 2024,1377,2856
157: 1136,3102,3513
4191: 
4482: 1733,1946,2066
4429: 
161: 3268,1091,3414
162: 4216,4774,552,2254
3631: 3653
164: 1207
165: 85,510,4462,4588
4272: 2439,732,1955,1183,3938
167: 4634,832,4773,4746,1668
168: 4445
169: 645,2402,4275,4731
3655: 21
171: 768,179
172: 
173: 3178
174: 3261,3689,3532,4195
175: 2577,3456
4798: 
4715: 1755
178: 3225
179: 768,171
4534: 3002,1091,3414
181: 
4360: 3175,1840,387
183: 3665,3478,863
4286: 740,2083,1961
185: 
186: 
3826: 3954,3624,3286,3989
188: 3817,1398
3703: 
4052: 2585,3605
191: 2531,498,990
192: 3076,140
193: 4789,3299
4054: 1566,4762
195: 2180
196: 
197: 1745,2159
198: 3395,2955,4587,2549,1583
199: 4599,3215,1472
4558: 3824,3391
201: 1594
4337: 3150
4421: 4556,4289
