0: 1788,1388
1: 447,224,926,361
2: 896,1484,1428
3: 539,683,1784,1544
4: 68,232,1735,1219
5: 801,948,97,309
6: 1164,1292,1665,865
7: 860
8: 1368
9: 607
10: 1297
11: 1103,1015,1144
12: 815,459,644,627
13: 1558,938,1254,710,1361
14: 253
15: 959,1783
16: 786
17: 772,678,1690,109
18: 777,1317,1288,174
19: 695,1219,1735,774,1420
20: 1658,133,674
21: 942
22: 1366,1209,1263,1781
23: 1569,1079
24: 755,1397
25: 553,1698,1101
26: 1116,239,1200,822
27: 1143,1657
28: 1784,539
29: 
30: 
31: 333,825,94
32: 1790,982,1209
33: 
34: 147,1743,1601,1678
35: 1700,1218,1185,826,211
36: 354,823,583
37: 
38: 482,1088,1520
39: 1468,585,376
40: 103
41: 847,468
42: 
43: 1487,1343
44: 207,1451,1516,474
45: 578,794
46: 1404,1106,1145
47: 1597,1008
48: 1536,1194
49: 441,271,165,299
50: 1214,1109
51: 1445
52: 1270
53: 
54: 1461,1279,1413
55: 1457,1490,1365,1067
56: 1787
57: 500,1638
58: 821
59: 1212,234
60: 1124,219,1585,801,1654
61: 992,1498,226
62: 1513,1394
63: 
64: 889,132
65: 1286,762
66: 868,1430,675
67: 140,1631
68: 232,1434,4,1735
69: 
70: 1656,191,1683
71: 217,1016
72: 1024,1043
73: 441
74: 102,869
75: 1564,830
76: 641,354,1503
77: 280,434,545,803
78: 1593,1314,963
79: 975,1086,210,1793
80: 1465,1225,366,735,212
81: 1417,1625,258,979
82: 
83: 1395,1720,1380,1427,1369
84: 1196,1369,1794
85: 670
86: 1596,923,380
87: 1037,1420,242
88: 1305,204,852,1334
89: 1010
90: 1178,906,853,1675
91: 1660
92: 562,721,478,1105
93: 791,435
94: 825,1514,31
95: 1339,808,1788
96: 1227,1233
97: 1151,937,5,309
98: 1324,1392,1740
99: 105,1117,650
100: 880,562,112
101: 399,333,1284,913
102: 74,869
103: 1672,40,1682
104: 1080
105: 99,1117,1615
106: 845
107: 298,1673,1499
108: 943,536,230,807
109: 1690,17,1532
110: 845
111: 557
112: 1529,100,1328
113: 124,738,1522,943
114: 1655,453,773,1292
115: 1511,1538
116: 955,795,680,1285
117: 1730,1259
118: 1744,1293,699
119: 1629,1623
120: 661,324,1004,1778
121: 881,1372
122: 343,1231,1433
123: 196,449,1081,1303,811
124: 113,671
125: 905,411,1283
126: 
127: 265,132
128: 1161
129: 
130: 1525,1479
131: 999,1448,624,838
132: 127,64,1444
133: 716,1363,277,20
134: 835,1191,1247,159
135: 1485
136: 1062,1126,957,449
137: 418,1039,1571
138: 
139: 1597,470,739,1550
140: 67,1408,1143
141: 1528,1327
142: 1386,279
143: 938,1361,145
144: 629,1109
145: 1697,143,1361,463,1198
146: 489,1260,1218,1592
147: 34,1743,1379,642
148: 178
149: 357,1357,882
150: 798,388
151: 1423,1156
152: 742,182,426
153: 620,1588,1416,1549
154: 787,532
