1697: 1788,1198,1616
1: 931
2: 849,1170,214
3: 705
4: 1641,608,1790
5: 948,84,381,1255,240
6: 114,1317,1664
7: 27,100
8: 672
9: 387,1271
10: 1509,1598
11: 1037
12: 601,257,1635
13: 1537,499,1093
14: 1783,1385
15: 1411,1000,265
16: 650,449
17: 350,858
18: 1655,1457
19: 811,315,1469,204
20: 245,1251
21: 
22: 796,819,1055
23: 1046,727
24: 
25: 1452,1604
26: 997,1164
27: 7,997,695
28: 1546,621
29: 423
30: 126,283
31: 
32: 1471,216,367
33: 772,970
34: 488
35: 211,1066
36: 1568,991,1350,523,659
37: 
1672: 1084,1393,634
39: 1128,1027,1102,472
40: 
41: 332
42: 680,464
43: 1019,1599,904
44: 1535,50
45: 1737
46: 1349,674
47: 
48: 620
49: 
50: 1535,44
51: 726
52: 167,514,295
53: 1051,963,495
54: 1215,1788,1198
55: 549,496,1003
56: 172
57: 1106,1091,173
58: 1326,1265,1580
59: 959,1191,1264
60: 734
61: 711,1233,1111
62: 
1757: 721,762,83
64: 622,265
65: 1038,1370
66: 440,669,413,936
67: 284
68: 512,306,619,1307
69: 792
70: 588,685
71: 1417,111,1795
72: 1225,1792,993
73: 1220,1789,1181
74: 1285,490,869,138,1669
75: 746,1386,1597,1442
76: 977,700,1596
77: 565,1781,452
78: 1507,967
79: 1173,588
80: 320,1419,815,1511
81: 809
82: 895,589
83: 1239,762,1757
84: 5,381,1585
85: 868,460,1786
86: 1200,728,188,267,371
87: 535,1202,1692
88: 1050,1493,144,393
89: 
90: 1516,1217
91: 230,1080
1692: 390,87
93: 1296
94: 226,1793,1007,1498
95: 994,1035,191
96: 571
97: 1652,1755
98: 1603,1302,1249
99: 874,127
100: 7
101: 1451,1726,1208
102: 
103: 941
104: 178,892
105: 1000
106: 594,1782
107: 
108: 1473,1105
109: 952,1250
110: 1682,1026,709,962
111: 1417,71
1675: 715,1595
113: 136,1136,1486
114: 6,1535,1664
115: 199
116: 186
117: 475,1318,1233
118: 551,1618
119: 1660
120: 824,509
1668: 1098,1236,1496
122: 1429
123: 370,299,1494,696
124: 1670,712,1596
125: 
126: 484,283,30
127: 1147,99
128: 1410
129: 802,1659
130: 1564,369,470,1533,1113
131: 1489,360,722
132: 1404,271
133: 348,646,522,1209
134: 532,401,1524,602,1090,605
135: 
136: 1136,113,1040,577,981
137: 1639,1561,1030,462
138: 869,74,1669
139: 
140: 1445,651
141: 1470
142: 845,732
143: 576,1400,366,1551,411
144: 274,393,88,1050
145: 1551,411
146: 1690
147: 701
148: 1623,157
149: 292
1728: 718,1730
151: 1485,729,235,1175
152: 1781,1209,1012
153: 1274,1416,1332,338,743
154: 737
1693: 314,766
156: 561,939,1756,1575
157: 170,398,148
158: 1169,774,929
159: 396,1611
160: 936,770,174
161: 241
162: 960
163: 
164: 455,630
165: 569
166: 456
167: 52,514,1501
168: 1460,637,468
169: 1521,1402,225
170: 157,1408
171: 1303
172: 56
173: 1091,1106,57,259
174: 160
175: 203
176: 815,1174,1227
177: 321,494
178: 104,637,1364
179: 1253
180: 1677,1107,1492
1669: 74,138
182: 876,481,843
183: 1469,1180,1312,355
184: 868,1122,460
185: 
186: 1647,116,1515
187: 357,282
188: 1420,983,728,86
189: 1354,662
190: 289,635,1165
191: 295,95
192: 
193: 689
194: 888
195: 808
1756: 1044,872,939,156,1575
197: 275,397
198: 875
199: 115
200: 1105,796,1591,1323
201: 605,1090,1223
202: 1786,474,1587
203: 1111,175
204: 19,481
1782: 106,1674
206: 903,1511,437
207: 1226,442,1265
208: 977,1679,811,315,1050
209: 
1683: 1028
211: 35,311,1558
212: 683,1124
213: 625,1372
214: 1170,2
215: 869
216: 1382,367,32
217: 972,489
218: 720,1526,827
219: 550
220: 723,1455,1178
221: 1065,968,744,854
222: 901
223: 1229,1520,610
224: 
225: 1402,169,736
226: 94,255,232,430,466
227: 913,841
228: 1708
229: 
230: 91,1080,706,1619
231: 1026,614,1682
232: 226,255,1009,466,880
233: 1382,367,241,1221,1619
234: 
235: 1125,1175,151
236: 1774,1158
237: 279
238: 1607
239: 733
240: 1255,641,5,354
