1697: 1525,799,1688,1203
1: 235,1192,151
2: 980
3: 1784
4: 1657,1052
5: 113
6: 202,184,1786
7: 1120,1598
8: 1671,1795
9: 659,291
1615: 951
11: 536,872,122
12: 805
13: 409
14: 1064,960
15: 1495,889,249
16: 1050,1132,633
1604: 1690,402,1536
18: 1631
19: 1229,750,610
20: 783,223
21: 529
22: 588,728,778,1323,1785
23: 1152,301
24: 
25: 1527
26: 1200
27: 923,1414
28: 279,520
29: 443,1046
30: 219
31: 
32: 390,1552,646,554
33: 402,1578
34: 1593,1565
35: 363,445,360,1342,1318
36: 996,1264,467,1556
37: 1397
1672: 1311
39: 1252,585
40: 
41: 62
42: 1165,288
43: 668,635
44: 1587,670
45: 1646,1540,656,976
46: 1094,1081,287,347
47: 98,1415,1576,154
48: 636,440
49: 1500,786,590
50: 1402,930,339,1253
51: 986,1391
52: 1079,1683
53: 
54: 683,798
55: 1356,1466
56: 
57: 1422,1626,780
58: 236,747,819
59: 1419,209,368
60: 1275,948,118
61: 793,602,1038,1496
62: 41,374,804,892
1757: 444
64: 123
65: 1467,454,1543
66: 1416,713
67: 
68: 641,843,394,593
69: 1387,724
70: 217,1369
71: 1117
72: 755,1362,303,1792
73: 500,682
74: 
75: 1006
76: 188,200,774
77: 449,1064
78: 1628,738
79: 1016,778
80: 1118,660,1056
81: 1271,1117
82: 
83: 1260,1591,207,432,1541
84: 750,1136,610
85: 723
86: 1483,1200,100
87: 1566,88
88: 1566,87,1448,1305
89: 1248
90: 1241,853,789
91: 1781
1692: 1627,161,1063,277
1630: 1217,179
94: 878
95: 448,1554,1413
96: 1377
97: 1259
98: 47,1415
99: 1606
100: 1088,1200,997,86
101: 412
102: 
103: 231,614
104: 637,1316,468
105: 810,1606,1783,152,1087
106: 525,462,625
107: 1007
108: 819,1270,1045
109: 440,1112
110: 898,1597,251,1331
111: 1309,309
1675: 1224,713
113: 5,1055,1307
114: 1587,160
115: 1506,1787
116: 425,1293,1534,341
117: 1633,475
118: 1795,1275,60
119: 1598,693,1401
120: 242
1668: 575,1472
122: 1756,157,536,11
123: 64,1404
124: 1596,380,823
125: 408
126: 614,1191,1013
1624: 
128: 1204
129: 
130: 660,283
131: 1065
132: 270,289
133: 554,244,1044,522,1012
134: 212,612,437,209
135: 
136: 1585,433
137: 1409,894,941
138: 886
139: 1201
140: 591,496
141: 1385
142: 251,159,1070
143: 585
144: 315,1585,1312
145: 1171,1342
146: 1261
147: 1796,344
148: 567,965,695
149: 1261
1728: 1319,1097
151: 1,1343
152: 1783,105,1051
153: 1617,909
154: 787,1576,1784,47
1693: 1284,767,494
156: 371,1180,1103,1188,997
157: 1756,1144,122,536
158: 1483,1272,1490
159: 142
160: 1587,114
161: 1692
162: 910,803
163: 732,649
164: 630,1215,1537,463
165: 956,850
166: 837,502
167: 913,678,399
168: 
1607: 949,1782
170: 367
171: 1042,895,1513
172: 1415
173: 1528,827,507,609,1029
174: 849,1664
175: 456
176: 
177: 1272,415
178: 1316
179: 250,1630
180: 1196,1079
1669: 869,955
182: 535,1641,512
183: 631,486,1505
184: 754,6
185: 1426,871
186: 
187: 928,1690
188: 76,1037
189: 
1626: 1422,57,224
191: 1351,708,295
192: 1301,330,525
193: 266
194: 1204
195: 968,1780
1756: 1144,157,638,122
197: 
198: 1747
199: 391
200: 1045,587,76,1037
201: 1108,790
202: 6
203: 718
204: 306,971,608,244,1044
1782: 1068,1372,1607,1384
206: 672,1386,1256
207: 432,478,1370,83
208: 1184,1473
209: 401,59,310,612,134
1683: 1176,1079,52
211: 1696,1141,1553,705
212: 612,134,437,1212,639
213: 492,1398
214: 936,1673
215: 807
216: 1181
217: 70
218: 239
219: 30,1618,467
220: 
1620: 242
222: 
223: 550,20
224: 1789,1626
225: 1684,865,397
226: 1313,1009,1446,1793,1310
227: 399
228: 
229: 
230: 1054,545
231: 103,1511,1256,959
232: 880,555,1793
233: 674
234: 1140,1100,946,1538
235: 1192,1,916,729
236: 58,1270,785
237: 
238: 1071
239: 1206,218
240: 648,1184,1493
241: 1552,438
242: 120,1620
243: 
244: 204,971,608,1044,1012,133
245: 
246: 400
247: 426,287,1099,347
248: 1357,292
249: 1407,889,15
250: 179
251: 142,503,1331,110
252: 1175
1730: 1654,1265,375,1223
254: 1296,372
255: 1015,1178
256: 726,695
257: 303,834
1657: 4
259: 1029
260: 944,833,1399
261: 649
1659: 
1792: 1542,834,1149,1227,72
264: 498
265: 1565,1327
266: 193,617
267: 857,421
268: 1608,1559
1667: 1541,350,359
270: 132,289
271: 1494,1783
1605: 321,1015
273: 
274: 1096,1590,765
275: 777
276: 504,524
277: 1063,1692
278: 
279: 28,1436
280: 704,1354
281: 1488
282: 615
283: 130
284: 887
285: 1090,702,1441
286: 313,615,748
287: 426,247,347,46
288: 1165,42
289: 270,132
290: 1130
291: 9
292: 248,1645
293: 1505,1585,1255
1645: 292
295: 1351,191
296: 504
297: 1290,472
298: 825,1516
299: 
300: 1438,1504
301: 23
302: 1637,1789
303: 257,834,72,755
304: 503,1531
1789: 224,420,560,302,1480,910
306: 204,971,506,700,870
307: 1519,471
308: 1546,902
309: 394,1568,111,1308
310: 1134,401,209
311: 1107
312: 
313: 286
314: 1406,1241,1122
315: 144,740,1566
316: 568
317: 1487,807
318: 1544
1755: 1345
320: 1546,902
321: 1155,1605,1015
322: 1113,746
323: 793,602,532,972,761
324: 
1684: 225,397
326: 
327: 
328: 1124,539,1092,1278
1635: 
330: 1639,192,525,1409
331: 
332: 833
333: 952,1020,1388
334: 762,1173,407,950
335: 1460,596
336: 596,1572
337: 
338: 
339: 1328,50,1253
1618: 918,467,219
341: 1353,690,116
342: 1194
1691: 701,358,1796,458
344: 1350,147,1358,396,1796
1653: 1003
1760: 
347: 287,247,46
348: 1699
349: 1639,1026,941
350: 478,1610,359,1667,1541
351: 919,1678
352: 
353: 768,1030
354: 1186,1291,577
355: 479
356: 523,1524
357: 1020
358: 1691,701
359: 1014,1610,350,1667
360: 1558,363,35
1687: 
1678: 919,351
363: 445,35,1558,1154,360
364: 1145
365: 1640
366: 1396,751,663
367: 170
368: 1419,59,1795
369: 1236,734
370: 511,806,1165
371: 156,1180,997,929
372: 1072,254
373: 949,1384
374: 804,62,892
375: 1616,1265,950,1654,1730,1173
376: 
377: 510
378: 
379: 1694
380: 1596,124,1050
381: 793,1086
382: 764,460,842
383: 1611,1013
384: 1160,1000
1650: 839,1465,1002
386: 684,1263,1634
387: 949
388: 1215
389: 
390: 32
391: 199
392: 1324,985
393: 
394: 1568,309,68,641,1308,593
1612: 1477
396: 1358,344
397: 546,225,1684
398: 536,483,1031
399: 678,167,227
400: 246
401: 209,310
402: 1578,33,1430,1604,1690
403: 769,1689,1385
404: 1374,464
405: 
406: 1132,943
407: 950,1654,1142,334
408: 844,445,125
409: 13
410: 1425
411: 905,601
412: 101,1250
1632: 1747,544
414: 
415: 177
416: 1211,1614,687,1474
1614: 877,416
418: 538,1276
419: 921,1468
420: 560,1789
421: 267,1670
1613: 
423: 570,1698
424: 
425: 116,1293,1353
426: 287,247,623
1619: 1471
428: 
429: 1294,888
1606: 105,810,99
431: 
432: 207,1260,83
433: 1148,136
434: 1686
435: 884
1609: 
437: 605,212,134
438: 1044,522,583,439,241,1552
439: 438,583
440: 109,715,636,48
441: 1503,457,1098
442: 1794,975
443: 29
444: 1757
445: 363,35,844,1318,408
446: 1484,753,818
447: 
448: 1035,1242,95,1413
449: 77
450: 526,1111
451: 1561
452: 958,877,780
453: 675,1434
454: 1038,813,65
455: 721,628,1259,1265
456: 175,1097
457: 1448,1098,441
458: 979,1691
459: 962,838
460: 382,764,842,771
461: 
462: 625,106,557
463: 164,692,1337
464: 1374,404
465: 1239
466: 1208
467: 918,1556,1618,36,219
468: 637,104
469: 683,790
470: 1227,1456
471: 307,1519
472: 297,1479
473: 1489
474: 1499,753,736
475: 117
476: 985
477: 508,785
478: 1610,350,1370,207
479: 355
480: 
481: 982,619,588,1785,587
1666: 1529
483: 536,398,1031
484: 918,1556
485: 1102,1642
486: 603,530,183
487: 1066,861
488: 551,831,1268
489: 1049,526
490: 
1708: 965,726
492: 213,1398,1674
493: 1677,1651
494: 1464,1693,1284
495: 1197
496: 140
1796: 147,344,1350,937,1691,701
498: 264,524
499: 
500: 1485,1121,682,73
501: 
502: 1102,166
503: 304,251
504: 276,296
505: 1213
506: 1562,1303,870,306
507: 687,1474,173,827
508: 477
509: 868,1155
510: 377
511: 370,806
512: 1641,182
513: 
514: 1574,1239,735
1656: 1038,1544,532
516: 
517: 
518: 1207,694
1791: 680
520: 28
521: 
522: 1044,438,1552,133,554
523: 356,575,538
524: 276,498
525: 106,1301,192,330
526: 489,450
1790: 1177,707
528: 1339
529: 21
530: 1467,486
1737: 896
532: 323,602,972,1656,1038
1616: 1265,375
534: 1548,1677
535: 929,182,1641,598
536: 398,483,11,157,122
537: 717
538: 1472,523,418
539: 328,1092,1582,1278,1225
540: 1526,1121
541: 835,711
1608: 268,1559
543: 
544: 1632,1747
545: 230,592
546: 397,914,1466
547: 
1743: 931
549: 
550: 223,703
551: 831,856,488
552: 1394
553: 
554: 646,133,522,1552,32
555: 1793,1326,232
556: 932,1551,1581
557: 649,1024,462
558: 1590
559: 1069,993
560: 836,420,1789
561: 884,738,1628
562: 
563: 873
1648: 938
565: 1781,1106
1658: 
567: 148,1244,1143,1116,1623
568: 912,1516,316
569: 1125,1175,719
570: 423
571: 1283
572: 1396,601
1639: 330,349,1409
1685: 825
575: 1668,523
576: 1347
577: 641,843,1186,354,1291
578: 
579: 978
580: 1214,689
581: 975,1226
1795: 1043,118,627,8,368,1269,1085
583: 1044,438,700,439,971
584: 1061
585: 39,143
586: 
587: 1045,200,1785,481
588: 22,728,1785,481
589: 
590: 49,714
591: 140,1572
592: 545,1091
593: 394,68,1308
594: 1398
595: 1299,1662
596: 336,335
1633: 117,934
598: 638,1641,535,822
599: 1010,1381
600: 1594,814,852
601: 572,1396,905,411
602: 323,793,61,532,1038
603: 1496,631,486
1617: 153,909
605: 437
606: 1110
607: 1593,664
608: 204,244,1094,1012
609: 1080,173,720
610: 750,84,19
1690: 1604,187,402,1578
612: 212,134,209,1507
1699: 348
614: 126,103
615: 282,748,286
1783: 152,1494,271,1087,105,810
617: 1478,773,266
618: 1786,883
619: 481,982,1187
620: 1389,1168
621: 647,787
1627: 1692,742
623: 426,1099
1670: 1105,421,811
625: 462,106
626: 634,1435,1586
627: 1795,1043,809
628: 835,1259,455,1265
629: 1150,1457
630: 164,1215,1537,1133
631: 183,603,1450
632: 1144,822
633: 977,671,16
634: 1482,626
635: 43,668
636: 715,440,48
637: 104,468
638: 598,1756,1082
639: 1212,1702,212
1785: 819,1323,747,588,22,481,1045,587
641: 68,577,1186,394,1568
642: 
643: 1020
644: 999,1362,655
645: 
646: 554,32,1349
647: 621
648: 1184,1493,240
649: 1024,557,261,163,732
650: 
651: 1328,923
652: 772,1168
653: 1123
654: 1176,1788
655: 1362,644
656: 45,976,864
657: 961
658: 
659: 9
660: 130,80
661: 966,1514,1228,1341,1498
662: 1433
663: 1396,366
664: 607
665: 1262,769,1689
666: 1205
667: 986
668: 43,635
669: 
670: 44
671: 633,977,1447
672: 206,1386,1511,1256
673: 934,1688
674: 233
675: 777,453,1475
676: 868
677: 1414
678: 399,913,167,854
679: 1159
680: 1791
681: 1375,853,1163,789
682: 500,73
683: 469,54
684: 386,1634
685: 
686: 
687: 507,1474,416
688: 1696,1141,1128
689: 580
690: 1353,341,820
691: 1395,1498,1158
692: 1337,463,1092
693: 1598,119,1401
694: 518,938,1392
695: 965,256,148
696: 963,889,717
697: 1652
698: 
699: 1470
700: 870,306,971,583
701: 1691,358,1796
702: 285
703: 1117,550
704: 280
705: 816,211
706: 1349,1209,1365
707: 1790,1067
708: 191
1640: 365
1610: 478,350,1014,359,858
711: 1111,1258,541
712: 1182,1088
713: 1675,1224,66,1416
714: 1500,832,590
715: 636,440
1662: 1452,595
717: 1491,537,696
718: 203,1544
719: 569,931
720: 1080,609,1029
721: 455
722: 1102
723: 85,1015
724: 1387,69
1689: 403,769,1385,665
726: 256,1401,1708
727: 
728: 1333,588,22
729: 916,235
1652: 697,1090,840
731: 
732: 163,649,1024
733: 920,1429,953
734: 369
735: 514,1574,1239
736: 474
737: 1247
738: 1663,1628,78,561
739: 1100,946
740: 315,1566
741: 1333,1016
742: 1627
743: 1005,1332
744: 
745: 
746: 1682,1149,1113,322
747: 1323,1785,819,58
748: 615,286
749: 1078,1128,1696
750: 84,610,19
751: 366,1361
752: 1138
753: 474,446
754: 184,1595
755: 72,1362,303
756: 1129
1688: 673,1203,1697
758: 1058
759: 969,1334,1260
760: 1284,767,771
761: 1441,323,793
762: 1173,334
1651: 493
764: 382,878,460,771
765: 1590,274,1679
766: 896,1676,1589,1421
767: 1693,760
768: 353,1030,1368,1517
769: 403,1689,665,1051
770: 
771: 1047,764,460,760
772: 1162,1168,1578,652
773: 922,1172,617
774: 1169,76
775: 
776: 1030,1517,1561
777: 675,275
778: 79,1323,22
779: 1199
780: 452,57,1064,960
781: 
782: 795,1192
783: 20,1520
784: 998,1209
785: 477,236
786: 49
787: 154,621
1787: 115
789: 90,853,681
790: 469,201
1679: 1076,765
792: 1625,1476
793: 323,602,61,761,1086,381
794: 1033
795: 782,1423
796: 1158,1509,824
797: 846,987,1010
798: 54,903,1135
799: 1525,1697,1124,1092
800: 1460
801: 1134
802: 
803: 1011,162,827
804: 374,62
805: 12,1242
806: 370,511
807: 215,317
808: 1677
809: 627,1417
810: 105,1606,1783,1087
811: 983,1670,1105
812: 1541,1591
813: 454
814: 1594,600,1164
815: 
816: 954,705
817: 1381
818: 1317,1484,446
819: 1785,747,58,108
820: 690
821: 1202,1363,1096
822: 943,1641,598,632
823: 124
824: 1267,796,852
825: 298,1685
826: 1014,858,1459
827: 173,1528,507,803
828: 1524
829: 
1638: 1663,831
831: 551,856,488,1638
832: 1206,1500,714
833: 332,260
834: 303,257,1792
835: 628,541
836: 1470,560,1404
837: 166,1784
838: 459,1550
839: 1650,1465
840: 1314,1652,1090,1441
841: 
842: 382,460
843: 68,577,1148
844: 1318,408,445
845: 894
846: 797,987
847: 1234,899,965
848: 855
849: 1274,174
850: 1125,165
851: 
852: 1158,824,600
853: 1163,90,789,681
854: 1218,678,1047
855: 848
856: 551,831
857: 267,1427,982
858: 1014,826,1610
859: 1500,1206
860: 1116,1623
861: 1066,487
862: 
863: 1177
864: 1005,656,1332
865: 225
866: 
1623: 1116,860,567
868: 509,676
869: 955,1669
870: 700,506,306
871: 887,185
872: 1082,1126,11
873: 563,1277
874: 1147
875: 1625,1019
876: 1486
877: 452,958,1614
878: 764,94
879: 1520
880: 232
881: 1393
882: 994,1676
883: 618
884: 561,435
885: 1237
886: 138
887: 284,871
888: 915,925,429
889: 1407,963,696,15,249
890: 
891: 975,1794
892: 374,62
893: 
894: 1026,845,941,137
895: 171,1042,1382,1513
896: 766,1676,1737
897: 1402,930
898: 110,1597
899: 847,1025
900: 
901: 1660,1060
902: 1603,308,1546,320
903: 798,1135
904: 
905: 601,411
906: 1621
907: 
1637: 302,1129
909: 153,1617
910: 162,1789
911: 952
912: 568,1589,1421
913: 167,678
914: 546
915: 888
916: 235,729
1695: 1547,1109
918: 467,1556,484,1618
919: 351,1678
920: 733
921: 419
922: 773,995,1172,1104
923: 27,651
924: 1444,1519
925: 888
1611: 383
927: 
928: 187,1536
929: 535,371,997,1088
930: 1402,50,1089,897
931: 719,1743
932: 556,1551,1361
933: 
