1697: 1681
1: 
2: 670
3: 1146
4: 197,32
5: 1271
6: 214,980,440
7: 1031,822
8: 1134
9: 69,425,807,1494
1615: 484,337,627
11: 1044,872,1349,998
12: 1432
13: 
1568: 1795,1671,703,394
15: 
16: 1679,1148
1604: 913,1677,1501
18: 1643,1399,935
19: 1229,355
20: 111
21: 166,518,419,751
22: 1260,1167
23: 25,1527
24: 647,1636
25: 1527,23,1640
26: 1483
27: 107,1594
28: 106,1301,137
29: 1662,1453
30: 951,1043,1678
31: 
32: 811,1401,4
33: 264
34: 61,381,1469
35: 1319,673,472,1581
36: 1618,1030
1574: 217,1218,1536
1672: 213,163,625
39: 360,1342,1035,143
40: 1247,737
41: 
42: 99,1570
43: 
44: 952,936
45: 109
46: 426,1626
47: 1001
1698: 1462
49: 784,77
1587: 85,789
51: 1012
52: 1461,1788,1065,514
1603: 400,1204
54: 702,130,328,1325
55: 1109,446
56: 989
57: 1076,1590
58: 759,854,891
59: 337
60: 884
61: 479,34
62: 331
1556: 806,1534,1353
64: 1404,680
65: 526
66: 553,754,890,897
67: 596
68: 421,323,293
69: 9,1494
70: 359,678
71: 488,1507
72: 1149,1362,834
73: 1125
74: 586,1526
75: 1013,209,979
76: 1164,1228,1341,1483,1120
77: 960,49
78: 856
79: 208,481,1169
80: 734,1146,1550,352
81: 1268,1212,223
82: 794
83: 741,477,432
84: 1450
85: 1587,232
86: 1298,508,371,651,1267
87: 1202
88: 441,1312,1195
89: 357
90: 753,1295,174,781,1478
1677: 1318,1604,1501
1692: 364
1630: 677,849
1594: 107,27,675,1790
95: 175
96: 
97: 828,1056
98: 1456
99: 42,783
100: 321,300,796
101: 636,1284
102: 963
103: 377,1151
104: 
105: 452
106: 28,137
107: 1594,27,1253
108: 1265
109: 45,1430,365
110: 945
111: 20,1184
1675: 1455
113: 523,1040
114: 1673,1786
115: 1563
116: 291
117: 999
118: 612,1350
119: 1288
120: 896,994
1668: 
122: 1328,428
1625: 626
124: 1366,863,277
1601: 431,537
126: 801,776
1624: 765,299,1385,152,274
128: 925
129: 
130: 697,486,54,1325
131: 334,1788,1297
132: 610,1606
133: 567,306,1209
134: 1472,605
135: 886,490
136: 421,293
137: 106,28
138: 1343
139: 946,1538,1204,1302
140: 
141: 1783,1628
142: 614,915,1281,845
143: 39,1035
144: 1505,983
145: 688,601
146: 338,1661
147: 1350
148: 590
149: 
1728: 999
151: 586,447
152: 274,1624,1160,1481
153: 1605,789,1274
154: 734
1693: 643,286,841
156: 939,1088,188,598
157: 1182,1190,600,1420
158: 1067,986
159: 1393,881
160: 553
161: 1394,483,241
162: 565,500,1011
163: 1672,213,1379
164: 1259,1616,1097,433,1544
165: 372,403
166: 518,21
167: 
168: 
1607: 
170: 1234,1355
171: 1091,859,1206
172: 391
173: 307
174: 781,90,1295
175: 1273,1650,95
176: 1524,683,962
177: 1310
178: 901,496,1199,1391,1598
179: 1375
180: 1413
1669: 904,668,792
182: 674,822
183: 1045,481,1380,1169
184: 568,976,232
185: 273,1466,927
186: 563,1423,289
187: 
188: 1016,1307,1313,598,939,156
189: 1300
1626: 426,46,438
191: 442,1318
192: 231,672,1070
193: 578,1478,1790
194: 
195: 652
1590: 1658,650,1076,57
197: 4,1378,1552
198: 893,724,1449
199: 
200: 691,1270,829,1667
201: 1537
202: 242,1629,617,1004
203: 556,1441,721
204: 1206,1042,1513
1782: 1435,1068,1534,1353,1019
206: 1611
207: 762,812,1239
208: 79,1255
209: 538,937,75,979
1683: 744,1123
211: 679
212: 1195
213: 1672,163,625,1379
214: 6,980,1104
215: 1156
216: 1513,590
217: 1574,1218,1322,992
218: 521
219: 641
220: 1541,735
1620: 906
222: 453,273
223: 831,1212,81
224: 259
225: 1438
1586: 625,349
227: 1015,760
228: 
229: 342,1046,534
230: 1687
231: 192,1561
232: 184,85
233: 1781,1382
234: 1256
235: 699
236: 581,350
237: 
238: 918,557,544
239: 
240: 997,785,1016,939
241: 1394,161
242: 202,974,1402
243: 485,1102,1141
244: 
245: 420,1444
246: 279
247: 821,1062,1562,623
248: 928
249: 
250: 753,1295
251: 1368,429
252: 850,1192
1562: 439,623,1103,554,821,247
254: 
255: 826
256: 671,1257
257: 790,787
1657: 
259: 224
260: 453
1569: 1501
1659: 1032
1792: 463,1006,663,1361,1682
264: 33
265: 
266: 1623,578
267: 747,1793,415
268: 748,615
1667: 857,200,1464,1270
270: 782,889,1087,873
271: 1404,1606,1087,1051
1605: 153
273: 453,1466,185,927,222
274: 152,765,1624
275: 777,1306
276: 296
277: 1366,929,124
278: 675,1649
279: 246
280: 1300
281: 1511,1419,683,283
282: 841,1248
283: 281,1511,469,746,310
1560: 
285: 1090
286: 1693,841
287: 1094,398
288: 874,1293
289: 186
290: 1138,880,1685
291: 1437,116
292: 698
293: 68,421,486,136,1309
1645: 534
295: 1661
296: 1299,276
297: 1207,985
298: 1516,1326,359
299: 1385,765,1624
300: 1509,100
301: 333
302: 1121
303: 705
304: 1397,525
1789: 758,1129,1619
306: 1394,567,133
307: 173
308: 1787
309: 1312
310: 746,1511,283
311: 
1597: 1331,614,503
313: 378,493
314: 1655,1241
315: 356,1255,824
316: 708,1047,1646
317: 1296
318: 1467
1755: 630
320: 776,941,547
321: 390,1509,100
322: 
323: 68,421,1656
324: 1168,1589
1684: 1434,689,1143
326: 886
327: 572
328: 1186,54,990,1325
1635: 1226,1794,1258
330: 429
331: 62
332: 775,1572,637
333: 301
334: 514,1432,131,1788,1297
335: 336
336: 1572,335
337: 59,1615
338: 146,524
339: 1253
1618: 36,1030
341: 
342: 229,1194,1046
1691: 1671
344: 
1653: 800,1346
1559: 1788,805,1461
347: 1117
348: 1262,650,561,434
349: 625,1586,732
350: 1334,581,236
351: 1026
352: 1550,80
353: 815
354: 1186,990,1056
355: 19,1229
356: 315,1785
357: 89
358: 1678,1039,951,1268
359: 70,1516,298
360: 39,1608
1687: 230,786,706
1678: 358,1417,951,30
363: 472
364: 695,1692
365: 970,1430,109
366: 755,921,787
367: 706
368: 538,937,1796
1576: 848
370: 1515,1165,1156
371: 522,415,588,86,1267
372: 165
373: 1147
374: 1631,662
375: 489,1654,526
376: 861
377: 103,1151
378: 645,313
379: 
380: 876
381: 1469,1098,34
382: 1414,1514
383: 1358,579
384: 
1650: 445,175
386: 1105,750,1566,1575,1189
387: 1256,1517
388: 473
389: 
390: 321
391: 172
392: 940,1392,1648
393: 806
394: 1671,1568
1612: 
396: 701
397: 446,995,1547
398: 1094,589,287
399: 1430,900,864
400: 1603,1204
401: 902,996
402: 1540
403: 1637,810,165
404: 
405: 1115
406: 1182,1190,1188,1180,774
407: 975,456,1265
1598: 1328,1199,178,496
409: 790
410: 1784,694,419
411: 938
412: 1009
1632: 792,1372,1613
414: 1557
415: 522,371,747,267,598
416: 1106,592
1614: 920
418: 1108,473,1092
419: 751,694,1479,518,410,21
420: 1160,245
421: 68,323,293,136
1613: 1632
423: 
424: 1545
425: 9,1165,807
426: 46,1626,1480,1080
1619: 1121,1789
428: 546,122,871,726
429: 251,330
1606: 1404,271,132
431: 1601,1282
432: 477,478,83
433: 1544,164,1616,1467
434: 558,1262,348
435: 1099,623,1240
1609: 
437: 1419
438: 1096,1783,1626
439: 1562,623,1103,674,512
440: 896,636,6,980
441: 88
442: 191,1492
443: 1261
444: 785,1045,824
445: 1352,1273,1650
446: 55,1109,995,397
447: 151
448: 1400,1337
449: 958
450: 478
451: 1639,458
452: 609,105
453: 273,1466,222,260
454: 1014,854,1690
455: 1223
456: 530,407,1265
457: 700
458: 525,915,1639,451
459: 660,510,1524
460: 1014
461: 698,1152
462: 1639
463: 1792,1006
464: 
465: 1592,1396,1403
466: 1446,555
467: 881,627
468: 549,1116,800
469: 1225,283,746,1118
470: 663,1361
471: 910
472: 363,673,35
473: 418,1108,388
474: 1434
475: 1176
476: 1254,487
477: 1785,432,83
478: 450,432
479: 61
480: 944,1316
481: 1255,183,79,1169
1666: 1050,823,1263
483: 161,567
484: 1615,627
485: 243,1102,1283
486: 130,1309,1325,293
487: 476,1392,1027
488: 71
489: 1093,375,1537
490: 135
1708: 567
492: 732
493: 1554,313
494: 1414,1514,685,1208
495: 
496: 178,901,1598
1796: 1227,517,937,368
498: 1332,1694
499: 
500: 162
501: 
502: 947
503: 614,1597,1397
504: 900,1549
505: 1416,1272
506: 507
507: 1094,693,506
508: 86,1298,536
509: 813
510: 1524,459,1237
511: 
512: 439
513: 
514: 334,1432,1788,52,1065
1656: 1314,323
516: 
517: 639,1796
518: 166,1479,419,21
1791: 1374,1470
520: 1561,579
521: 1355,218
522: 371,415,598
523: 113,1040,1493
524: 1130,338,708
525: 458,1639,304
526: 65,375
1790: 1594,675,193,578
528: 1075
529: 1154,1159,987,1266
530: 728,456
1737: 568
532: 697,1108,1309
1616: 1259,164,433,981,1467,1142,950
534: 1645,1046,229,615
535: 1634
536: 1088,1323,508
537: 1601
538: 209,937,368,979
539: 1118,761
540: 1390,704
541: 1090,1544
1608: 576,360,1315,1002
1581: 572,1440,35
544: 894,238
545: 1447
546: 428,1199,871
547: 320
1743: 1036,1348,1343
549: 468,1116
550: 
551: 560,1495
552: 
553: 160,890,1104,66
554: 1144,1562,1103
555: 1446,812,466
556: 203,1688,840,1441
557: 1034,238,918
558: 434,1363
559: 
560: 551,1000
561: 1658,650,1058,1096,348
562: 1536,1516
563: 186,1423
1648: 1342,392
565: 162,920
1658: 650,561,1590,1058
567: 133,483,306,1708
568: 184,976,1737
569: 
570: 
571: 1418,585
572: 1581,1440,327
1639: 462,451,458,525
1685: 880,290,1007
575: 1278,1071
576: 1608,1413
577: 1525
578: 193,1790,266
579: 1358,383,520,941
580: 1631
581: 236,350,752
1795: 1671,1568,1131,703
583: 1200,1575,1189,1187
584: 1061,1621
585: 1207,571,1418
586: 151,74
587: 982
588: 371,1267
589: 398
590: 148,216
591: 
592: 958,1447,1408,416
593: 1086
594: 1085
595: 825
596: 1116,67
1633: 1654,1203,1185,1600
598: 747,1313,188,156,522,415
599: 1324
600: 619,157,1182
601: 1027,688,145
602: 644,1321
603: 
1617: 1455
605: 718,134
606: 1695,1217
607: 1437,949,1557
1599: 1360,738
609: 452,1230
610: 132,696
1690: 759,752,854,454
612: 118
1699: 1197
614: 142,1331,503,1597,915
615: 748,268,1046,534
1783: 141,1628,1593,665,438,1096
617: 1629,202,1004,887
618: 883
619: 1050,600
1563: 851,115
621: 1425,837
1627: 
623: 439,1562,247,435
1670: 1448,740,1098
625: 1586,349,1672,213
626: 1625
627: 881,467,1615,484
628: 1505
629: 
630: 1755
631: 829
632: 943,1367,965
633: 872
634: 1398,1311
635: 
636: 896,101,440
637: 944,332
638: 
639: 517
1785: 477,356,785
641: 219
642: 1070,1281,1611,672
643: 1693,825
644: 602
645: 378
646: 1378,742,1490,973
647: 24,1636
648: 1638
649: 1379
650: 1658,561,1590,1076,348
651: 1498,1267,86,1298
652: 195,1780
653: 1020,1261
654: 772
655: 962,1533,1225,1489
656: 912,1383
657: 1582
658: 
659: 1379,1674
660: 459,1524
661: 1541
662: 1033,953,374
663: 470,1361,1792
664: 1268,1043
665: 1058,1117,1783
666: 
667: 796,1139
668: 1372,1669
669: 
670: 2,743
671: 256,1486
672: 1442,642,1070,192
673: 1319,35,472
674: 1126,182,439,1103
675: 278,1594,1790
676: 
677: 1630
678: 70,1369
679: 211
680: 1637,64
681: 883,1170
682: 827
683: 1419,176,281
684: 1031,1427
685: 1414,494,1155,812
686: 1381
687: 
688: 938,145,601
689: 1684,1434,1073
690: 
691: 200,1591
692: 1198,840
693: 507
694: 1479,1784,410,419
695: 364,1522
696: 1458,610
697: 130,532,1108
