1697: 
1: 173,780
2: 1509
3: 787,1784
4: 661,735,1272,505,466
5: 1590,87,1173
6: 1274,1376
1545: 578
8: 1544,746
9: 1565,1384
1615: 1782,809
11: 1366,1552,536,439
12: 311,442
13: 799,961,547
1568: 
15: 355
16: 554,381,247,587
1519: 610
18: 62,1143,1660
19: 593,1195,1088,1473,212,34
20: 285,1092
21: 658
22: 130,1167,1728,1049
23: 570,276,268,1075,286
24: 1456,1787,1542
25: 1677,89
26: 371
27: 66,651,1178
28: 1397
29: 1357,89,1662
30: 1407
31: 912,1047
32: 929
33: 
34: 212,19,1195,309,223
35: 932
36: 441
1574: 1536
1672: 142
39: 1107
40: 
41: 133
42: 1026
43: 1487
44: 
45: 1007,909
46: 170
47: 1001,1247,352
1698: 357
49: 695,589,1781
1587: 1061
51: 1354,1781
52: 686,797
1603: 387
54: 1473,212
55: 273,1434
56: 
57: 592
58: 581,891
1537: 947,1337
60: 924,245,565,1408
61: 478,380
62: 331,18
1556: 
64: 1583
65: 208,1236
66: 27,897
67: 
68: 512,1105,1062
69: 347,431,537
70: 1414,236,217,1549
71: 
72: 946,154,834,701,80
73: 682,1637,1512
74: 850,254,151
75: 118,979,557
76: 481,1267,83,762
77: 779,228
78: 99,1678
79: 793
80: 647,154,72
81: 949
82: 871,1367
83: 1061,76,1267,1667
84: 1260,1633,1656
85: 1317
86: 1148
87: 5
1520: 1255,1111,1505
89: 25,1677,29
90: 505,814
1677: 25,89
1692: 104,907
1630: 870
1594: 1346,374,833
95: 1648,1002,334
96: 1468
97: 1656
98: 203
99: 488,783,78
1529: 707,1657,1522
101: 1508,498
1500: 706
103: 1415,961
104: 1692,1660,907
105: 1481,769
106: 1597,996,1331
107: 
108: 1464
109: 553,232
110: 1013
111: 431
1675: 868,789
113: 1173,1590
114: 120,1673
115: 848,1456
116: 875,893,186
117: 526,1467
118: 75,538,979
119: 1170,887,1793,1498
120: 114
1668: 223,1282,1448
122: 870
1625: 1482,904,626
124: 
1601: 
126: 1350,902,978
1624: 1096,307
128: 451
129: 
130: 22,1167,1728
131: 217,227,1018,652
132: 1599,696
133: 41,1031
134: 1146
135: 
136: 478,1236,903
137: 1269,238,1131
138: 1175
139: 
140: 693,1355,506
141: 287
142: 1672,401
143: 861,1381
144: 957,1312,1670
145: 602
146: 1235
147: 978
148: 367
149: 1780,1166
1728: 1167,950,22,130,465
151: 74
152: 1117
153: 1655
154: 946,72,80
1693: 1340,805,407
156: 267
157: 386,587
158: 1484,1122
159: 425,690,949,1087,291
160: 
161: 
162: 1570,426,500,1385
163: 349
164: 969
165: 1791
166: 472,502
167: 1523
168: 1422
1607: 1638,1450,1670
170: 46,507
171: 1789,720,1011
172: 391
173: 1,956
174: 193
175: 711
176: 978,902,1489
177: 1162,868,399
178: 189,336,693,516
179: 606
180: 1233,1280,797
1669: 563,317
182: 1363
183: 774,762
184: 936,1274,1222
185: 860
186: 893,215,116,875
187: 
188: 1690
189: 178
1626: 1137,1486
191: 1396
192: 1119,768,802
193: 174,899,250,930
194: 501,237
195: 1501
1590: 5,113,1173
197: 
1523: 167,772
199: 
200: 581,454,676,555,1516
201: 1496,388,759
202: 1178,1406
203: 946,257,98
204: 
1782: 745,1615,1435
206: 1294,429,642,503
207: 752
208: 65
209: 1397
1683: 324
1546: 734,993,1146
212: 34,54,1473,19
213: 458
214: 1595,952
215: 186,869
216: 1206
217: 131,227,652,70
218: 731,943
219: 1515,1470
220: 723
1620: 976,278
222: 1172
223: 1668,34,1195
224: 471,259
225: 1150
1586: 607,1476,1311
227: 217,131
228: 77,1781
229: 
230: 1447
231: 1398,458,919
232: 878,109
233: 589,434,895
234: 1417,845
235: 931,877
236: 1414,70
237: 851,1069,194
238: 137
239: 1300
240: 478,1236
241: 1480
242: 896,584
243: 1538
244: 1180,483
245: 565,60,500
246: 898,1531
247: 381,1177,16
248: 1392,1066,1324,985,297
249: 370,1293,551,404,729
250: 899,1623,193
251: 1550,1024
1538: 243,1792
1562: 406,623
254: 74
255: 1228
256: 1575
257: 203,946,1415
1657: 1522,1529
259: 471,1064,224
260: 777,1172
1569: 
1659: 
1792: 1185,1538,1113,1225
264: 715,882,1646
265: 1058,1043
266: 
267: 156
268: 23,570,1299
1667: 1585,522,83,762
270: 1192,1293,699
271: 274,769
1605: 1402
273: 55,1434
274: 910,271
275: 
276: 23,570
277: 677,853
278: 677,1139,1620
279: 1507,1071
280: 786
281: 1305,479
282: 
283: 337,328
1560: 
285: 575,1092,972,20
286: 1075,23
287: 141
288: 782
289: 
290: 1540,1492,1171
291: 159,949,1087
292: 1020,1154,342
293: 683
1645: 1252,1461
295: 715
296: 443
297: 248
298: 994,980,713
299: 416
300: 578,823,617
301: 1010
302: 931
303: 718,1616,1124,448
304: 1671
1789: 171
306: 
