1697: 
1: 873
2: 446,120
3: 1035,1342
4: 735,1250,1178
5: 1380,54,948,323,1566
6: 321,1621,498,1589
1545: 41,1535,552
8: 547,1146
9: 1384,809,1393
1615: 626,792,1782
11: 1395,774
12: 1780
13: 902,246
1568: 881
15: 68
16: 247,821
1519: 1293,1117,696
18: 1457
19: 798
20: 1271
21: 1123,1608
22: 771
23: 268,1780
24: 
25: 656,1698,357,423
26: 
27: 
28: 1511,1488,898
29: 146,654,1414
30: 1556,1269,765
31: 146
32: 66,897,617
33: 
34: 1260,1616
35: 663
36: 
1574: 407
1672: 828,75
39: 1461,95,1421,143
40: 246,961
41: 1364,1545,871
42: 492,1556
43: 836
44: 636
45: 402,504,1451,1047
46: 
47: 1161
1698: 1332,656,25,423,359
49: 1686,1513
1587: 1502,929,76
51: 870,731
52: 1693
1487: 1374
54: 1380,5,554,1469
55: 1245
56: 
57: 1789
58: 1223,723
1537: 1536
60: 638,1699,495
61: 986,1188,982
62: 1434,1460,865
1556: 30,42
64: 404
65: 972
66: 32,707
67: 
68: 1209,15,1054,1486
69: 535
70: 992,301
71: 904
72: 387,1611
73: 1230,719
74: 1791,404
75: 351,1281,1672,544
76: 1502,1587
77: 1221,589
78: 1058,355
79: 441,136,628
80: 559
81: 1264
82: 667,1354
83: 1270,183,1323,600
84: 957,212
85: 1786,681
86: 481,804
87: 1229
1520: 157
89: 1451,970
90: 1120,1552,1504
1677: 654,357,1694
1692: 847,1346
1630: 133
1594: 
95: 39,1421,1559,143
96: 1198,1017,1582,962,1338
97: 1142
98: 103,1358
99: 1200,1103
1529: 1150
101: 187
1500: 335
103: 1358,147,98,739
104: 549
105: 245,680
106: 231,634
107: 651
108: 844,1065
109: 643,399,1213
110: 
111: 690,425
1675: 636,1673
113: 856
114: 974,1430,1605
115: 838,961,672
116: 
117: 303
118: 349,1026
119: 929,814,1050,1667
120: 670,2
1668: 1177
122: 866,241,516
1625: 372,317,152
124: 1323
1601: 810
126: 147
1624: 
128: 
129: 1069,501
130: 1038,1654
131: 841
132: 1470,1632
133: 1630,1657
134: 602,1524
135: 254
136: 79,628
137: 304,377,1435
138: 586
139: 172,1560
140: 1356
141: 545
142: 1546,1085
143: 39,95
144: 1087,355
145: 673,947
146: 29,31
147: 103,126
148: 1781
149: 1347,744
1728: 303
151: 
152: 1625,249
153: 
154: 
1693: 1650,52
156: 530,1785
157: 1520,1255
158: 864,1623
159: 1251
160: 333,1047,338,1451
161: 1364,300
162: 637,1614
163: 1618,625,724
164: 752,826
165: 1404,1791
166: 411
167: 359
168: 302
1607: 1202,885,1282
170: 665,1689
171: 1080,420,1789
172: 139,1329
173: 1147,1036
1498: 906,814
175: 1275,999,1551
176: 547,1118,1215
177: 789
178: 632,1060,943
179: 596
180: 1553,456
1669: 
182: 
183: 83,315,600
184: 1793,522,906
185: 468,860
186: 955,659,893,1494
187: 1130,101
188: 575,1467,1307
189: 1572
1626: 
191: 534,342
192: 915,815
193: 1786
194: 383
195: 1326,654
1590: 1229
197: 1110,1620,278
1523: 1046
199: 1560
200: 887,1267
201: 412,631
202: 883,618
203: 
204: 233,933
1782: 1615
206: 1114
207: 721
208: 1155,267
209: 234,1531
1683: 1617,562
1546: 1070,142
212: 957,84,1276
213: 925,634
214: 
215: 869,916,1437,1184
216: 1789
217: 1322
218: 516,704
219: 560
220: 1223
1620: 197,1122,1438
222: 
223: 
224: 537
225: 
1586: 341,1131
227: 
228: 508,700
229: 276
230: 577,731,866,1522,943
231: 106,918,634,458
232: 896,1162,912
233: 204
234: 209,538,525
235: 
236: 1345,298
237: 
238: 557,1034
1474: 265,1613
240: 1681,1260,1616
241: 122,516
242: 584,1452
243: 612,1792,485
244: 
245: 105,1125
246: 40,13
247: 554,16,750,1469
248: 985,585,556
249: 152
250: 930
251: 1517
1538: 1792
1562: 811,1486,1209
254: 135
255: 825,878,1541
256: 1067
1485: 609
1657: 872,133
259: 696,1064
260: 
1569: 
1659: 1377,921
1792: 1538,243,485,448
264: 1646,1079
265: 1474,1064,696
266: 930,736
267: 676,208
268: 23
1667: 929,119,814
270: 1458
271: 1411,1481
1605: 974,1673,114
273: 275,1116,995
274: 1743,1599
275: 273
276: 229,570
277: 1438,1139,853
278: 197,753
279: 1084,1259
280: 1528
281: 1278,459
282: 652,1347,568
283: 
1560: 199,139
285: 432,829
286: 1194
287: 1096
288: 1393,414,809,1437
289: 1374,1387
290: 1345,399,854
291: 349,1151
292: 
293: 
1645: 705,975
295: 504,669
296: 
297: 686,585
298: 236,1345
299: 1099,1679,623
300: 1364,161
301: 70,992
302: 168,1343
303: 1728,1092,117
304: 377,639,520,137
1789: 216,171,1080,1011,1687,57
306: 
307: 537
308: 946
309: 1173,1098
310: 1427,1136,674
311: 334,658,722
1597: 1085
313: 686
314: 1655,1786
315: 1188,982,183
316: 743
317: 1625
318: 1628,983
1530: 977,671
320: 1397
321: 1621,6
322: 746,1259,1507
323: 674,1566,1656,948,5
1492: 992
1684: 1139
326: 756,1211,850
327: 
328: 1544
1635: 891
330: 1119
331: 
332: 1653
333: 160,338,900
334: 311,722
335: 1433,1500
336: 704,742
337: 396
338: 160,333
339: 901
1618: 163,1301
341: 1151,1586,344
342: 534,191
1691: 979
344: 1131,341,1269
1653: 332
1559: 861,968,378,95
347: 1458
348: 426
349: 118,291
350: 813,759
351: 75
352: 1468,989,1247,1576
353: 1442,1639
354: 750,1448
355: 806,1087,144,1058,78
356: 494,774,1169
357: 1694,25,1677,423
358: 
359: 423,1698,167
360: 
1687: 1011,1789
1678: 1098,783,1493,641
363: 
364: 1263
365: 
366: 1361
367: 1447
368: 1533
1576: 1247,352
370: 
371: 588,1016
372: 1625
1516: 857,1213,1228
374: 1629,496
375: 455,470,450,1690
376: 1266,1123
377: 304,538,1435,137
378: 1559,1432
379: 615
380: 1420,1314
381: 512,1575,1137
382: 1258,854
383: 1517,194
1524: 134,1636,905
1650: 1693,705
386: 1448,416,684
387: 1611,72
388: 1275
389: 
390: 661,1313
391: 1128
392: 1338,1636,1049
393: 1200,1394
394: 1039
1612: 1023,1784
396: 459,337
1518: 
398: 1077
399: 290,854,109,643
400: 834
401: 1397,1331
402: 45,504,669
403: 1490,973,646,565
404: 64,74
405: 
406: 1378,536,561
407: 1233,1574,1340
1598: 1187
409: 947
410: 1425,1542
411: 166
412: 201,752
1632: 132,1470
414: 809,1647,288
415: 1314,676
416: 1641,386
1614: 162
418: 1441,937
419: 655,1290,1682
420: 171,1080
421: 1191,1084
1613: 1293,560,1474
423: 359,25,1698,357
424: 1391,1082
425: 690,111
426: 1360,348
1619: 
428: 
429: 1417,1511
1606: 758,1491
431: 
432: 1239,285
433: 
434: 1240,695
435: 
1609: 1405
437: 1068,532
438: 998,769
439: 1148
440: 1228
441: 79
442: 1152,1020
443: 
444: 1071
445: 
446: 2
1528: 1390,280
448: 1503,1792,1124
449: 1098,1493,824
450: 1690,375,470
451: 1488
1517: 383,251,1249
453: 1295,681,922
454: 1596
455: 375,470,1400,1654
456: 180
457: 1473,1195
458: 925,231,918,979
459: 396,281
460: 1176,778
461: 1388
462: 1227,517
463: 1023
1540: 
465: 728
466: 923
1533: 368
468: 860,185
469: 
470: 375,455,1400,450
471: 1481
472: 556,1454,1207
473: 599
474: 1214,596,1073
475: 1254
476: 694,1784
477: 1222,747,735
478: 741,1321,1785
479: 1071,957
480: 
481: 619,86
1666: 762
483: 
484: 1670
485: 1124,1792,612,243,728
486: 1297,835,969
487: 1362,855
488: 
489: 855
1663: 806
1506: 1456,848
492: 42
493: 601,1324,645
494: 1016,356
495: 1303,1699,60
496: 1484,374
1796: 523,1652
498: 1621,6,1376,685,1589,509
499: 1254
500: 
501: 768,129
502: 755
503: 
504: 402,45,669,1047,295
505: 1509
506: 1145,1627
507: 
508: 1190,700,228
509: 1589,880,1292,1376,498
510: 1386,799
511: 
512: 381,1333
513: 1547,1434
514: 934,660
1656: 948,1136,323
516: 218,241,122
517: 1227,462
518: 
1791: 1285,165,74
520: 881,304,639
521: 
522: 1793,184,906
523: 1796,539
524: 1461,1421
525: 538,234,1398
526: 1134,1093,1286
1790: 922,1455,781
528: 1075
529: 
530: 156
1737: 1274
532: 437
1616: 1260,34,1681,240
534: 342,1532,191
535: 69,1308,1144
536: 1219,406
537: 224,307,1165
538: 525,234,377
539: 523
1482: 1311,1327
541: 885
1608: 1166,21
1512: 780,931
544: 1251,75,1281
545: 141,1192
1511: 28,945,429
547: 176,1118,8
1743: 274
549: 104
550: 1450,1296
551: 
552: 1367,1545
553: 1224
554: 54,1469,247
555: 1793
556: 1454,472,248
557: 238,1301
558: 924
559: 80
560: 1192,219,1613
561: 406,1378,1686
562: 1107,571,1683,1248,1617
563: 869,782
1648: 1788,846,992
565: 646,1490,1197,403
1658: 824
567: 1584,1262,1378,1126
568: 282,652,994
1535: 1367,1545,823,971
570: 276
571: 1107,562,1412,1617
572: 1140,1361
1639: 579,1531,1442,353
1514: 1258,1661
575: 188,721
576: 1651
577: 731,230,1150
578: 
579: 1639,1531,1398
580: 
581: 936,1176
1795: 1638,951
583: 793,1575,811
584: 242
585: 985,248,297
586: 138
587: 1270
588: 371
589: 1221,77,1240
590: 1390
591: 859,1447
592: 665
593: 703
594: 1671,732,1409
595: 840
596: 1073,1172,179,474
1633: 1309,692,1086
598: 
599: 473
600: 183,83,1045
601: 1324,493
602: 134
603: 1255
1617: 1683,571,562
605: 627
606: 1052
607: 
1599: 696,274
609: 960,1485
610: 807,717
1690: 450,375,771
612: 243,485
1699: 495,60,638
1686: 49,561
615: 379
1783: 958,1132,831
617: 32,852,1366
618: 883,202
619: 481
1563: 921,1078
621: 1216,1577,1787
1627: 506,1145,1143
623: 1679,299
1670: 884,484
625: 163,724
626: 1615,792,1372,1647
627: 605
628: 136,79
629: 1631
630: 1113
631: 201
632: 178,1234,1060,1150
633: 
634: 925,213,231,106
1541: 678,1292,878,255
636: 44,1675
637: 162,1408
638: 60,1699
639: 304,1331,520
1785: 741,478,156,1208
641: 1678,810
642: 1550
643: 109,399
644: 
645: 1324,493
646: 565,403,1382
647: 790,1350
648: 
649: 1256,1671,845
1494: 1372,186,955,893
651: 107,677,1401
652: 282,568
653: 1347
654: 1677,195,29
655: 688,1290,419,1468,989,1682
656: 1332,1698,25
657: 1118,1215
658: 311
659: 186,955,745
660: 1431,514
661: 390,1272
662: 
663: 35
664: 
665: 592,1689,170
666: 961
667: 82,1354,794
668: 
669: 402,504,295
670: 120,1168
671: 1189,1530
672: 1415,115
673: 145
674: 323,1566,310,1177
675: 
676: 267,415
677: 1401,651
678: 1541,1292
679: 
680: 105
681: 922,85,453
682: 1029
683: 
684: 1486,386,811
685: 1376,1621,498
686: 297,313
687: 
688: 655,1290,816,989
1532: 534
690: 111,425
691: 857
692: 1633,1086
693: 800
694: 787,476,1784
695: 1240,434
696: 259,265,1519,1599
697: 1040,950
698: 
699: 1117,1404
700: 508,228
701: 737
1521: 1547
703: 593,1276
704: 742,218,336
705: 1650,975,1645
706: 1781
707: 1120,66
708: 1402
1479: 1324
1573: 1463,1336,802
711: 1038,1297
712: 823,1004,971
713: 1079,980,1224
1502: 1587,76
715: 1452,900
1662: 1322
717: 807,610
718: 1185
719: 758,73,1230
720: 1385,1129,873
721: 207,575
722: 311,334,987
723: 1223,58
724: 163,625
1689: 997,665,170,1042
726: 944
1583: 
728: 465,485,1124,1040
729: 1637
1652: 1305,1796
731: 577,230,51,866
732: 594
733: 
734: 
735: 4,1250,477,966
736: 266
737: 1386,701
738: 1144,1200
739: 103,1358
740: 1490,1197
741: 478,1464,1785
742: 704,336
743: 316,896
744: 1501,149
745: 955,659
746: 322,1259
747: 1313,868,477
748: 1318
749: 993
750: 354,247
751: 1001,1443
752: 164,412
753: 1317,278
754: 
755: 502
756: 1211,326
1688: 1654
758: 1606,719,1526
759: 813,350
760: 1369
761: 
762: 1666
1651: 576,1152
764: 
765: 30
766: 1299
1575: 583,381
768: 501,1463
769: 1360,438
770: 
771: 22,1690
1488: 451,898,28
1503: 448
774: 1169,356,11
775: 786,1422
776: 1477
777: 
778: 460
779: 1513,973
780: 1512
781: 1790
782: 563
783: 1160,1312,1678
784: 956
785: 1395
786: 775
787: 694
1787: 1161,621,1577,837
789: 177
790: 647
1679: 623,1394,1099,299
792: 626,1615,955,1372
793: 583,1257
794: 1391,667
1544: 328,1309
796: 1484
797: 1340,1554,1788
798: 19
799: 510
800: 693,1433
801: 941,1100
802: 1410,1573,1304
1481: 271,1411,471
804: 1037,86
805: 
806: 1087,1264,355,1058,1663
807: 610,717,1293
808: 1020
809: 414,9,1647,1393,288
810: 1601,641
811: 1562,583,684
812: 1467,1014
813: 350,759
814: 119,1050,1498,1667
815: 1114,192
816: 688
817: 
1570: 
1649: 1328,1109
820: 1449
821: 1333,16,986
822: 
823: 712,1298,1535,971
824: 1493,449,1658
825: 878,255
826: 164,1464
827: 1390
828: 1672,1068
829: 285
1638: 951,1212,1039,1795
831: 1132,1363,1783
1552: 90,1120
833: 
834: 400
835: 486
836: 43,1405
837: 1787,1386
838: 115
839: 
840: 595
841: 131,1412
842: 1107,1357
1585: 1267,1061
844: 108
845: 1256,649
846: 1554,1788,1648
847: 1692
848: 1425,1506
849: 1031
850: 1211,326
851: 
852: 1170,617
853: 1139,277
854: 1258,382,399,290
855: 489,487,1362
856: 113,1628
857: 1516,691
858: 1319
859: 591
860: 468,185
861: 1559,968
862: 1204
863: 1584,1262
864: 158
865: 62,1434,1547,1460
866: 122,731,230,1522
1623: 158
868: 747
869: 563,215,916,1437
870: 51,1180
871: 1244,41
872: 1657
873: 720,1385,1
874: 1565,1096
1475: 1366
876: 1182
877: 
878: 825,255,1541
879: 
880: 1589,509
881: 520,1568
882: 1007,1578
883: 1284,618,202
884: 1296,1670,1450
885: 1607,1202,1282,541
886: 
887: 200,1267,1061
888: 
1543: 1592
890: 1595
891: 1794,1635
892: 
893: 186,1494
894: 996
895: 
896: 232,743,912
897: 32,1298
898: 1488,28
1780: 1501,268,576,23,12,1101
900: 333,715
901: 1367,339
902: 13
903: 1088,1255
904: 1311,1327,71
905: 1636,1524
906: 1498,522,184
907: 1025
1637: 729,1147
909: 1130
910: 
911: 
912: 896,232
913: 
914: 927
915: 192,1415
916: 1156,1437,869,215,1184
1695: 1786
918: 231,458
919: 
1513: 779,49
921: 1563,1659,1377
922: 681,453,1790
923: 1375,466,1284
924: 558
925: 213,634,458
1611: 387,72
927: 1306,914
1547: 513,1434,865,1521
929: 119,1667,1587
930: 250,266
931: 1512,956
1486: 684,1562,1209,68
933: 204
934: 514
935: 1399
936: 581
937: 418
938: 1006
939: 982
1496: 1431
941: 801
1554: 846,797,1788
943: 1522,1356,230,178
944: 726
945: 1511
946: 308
947: 409,145
948: 1656,323,5
949: 
950: 697
951: 1638,1212,1795
952: 1664
953: 
954: 
955: 186,659,745,792,1372,1494
956: 784,931
957: 212,84,479
958: 1783
959: 1304
960: 609
961: 115,40,666
962: 1582,96
963: 1495
964: 
1550: 978,642
966: 1509,735
1621: 321,498,6,685
968: 861,1559,1166
969: 486,1297,1400
970: 89
971: 823,712,1535
972: 65
973: 1490,779,403
974: 1673,1430,1605,114
975: 705,1645
976: 
977: 1530
978: 1550
979: 458,1691,1379
980: 713,1224
1515: 1051
982: 1188,315,939,61
983: 318
1781: 706,1091,148
985: 585,248
986: 61,821
987: 722,1261
1784: 476,694,1352,1342,1612
989: 352,655,688
990: 1108
1660: 1572,1429
992: 1492,70,1648,301
993: 749,1006
994: 1549,1548,568
995: 273
996: 1435,894
997: 1689,1349
998: 438
999: 1551,175
1549: 994,1548
1001: 751,1443,1149
1002: 
1003: 
1004: 712
1591: 
1006: 938,993
1007: 882,1578
1682: 1468,655,419
1009: 1065,1319
1010: 
1011: 1687,1789
1012: 
1013: 1476,1327
1014: 812
1015: 
1016: 371,494
1017: 96,1198
1018: 
1019: 
1020: 808,442
1596: 454
1636: 905,1049,1524,392,1338
1023: 463,1612,1141
1024: 
1025: 907
1026: 118
1027: 
1565: 874
1029: 682
1030: 
1031: 849
1032: 
1483: 
1034: 238
1035: 3
1036: 173
1037: 804
1038: 130,711,1297
1039: 394,1638,1212
1040: 697,728
1572: 1660,189
1042: 1689,1408
1043: 1077
1044: 1054,1189
1045: 600
1046: 1523,1388
1047: 160,45,504
1508: 1104,1402
1049: 1636,392,1134
1050: 119,814
1051: 1515
1052: 1214,606,1073
1647: 1372,626,414,809
1054: 1209,68,1044
1491: 1606
1056: 
1674: 
1058: 78,806,355
1794: 1319,1661,891
1060: 178,1234,632
1061: 887,1267,1585
1062: 1219
1063: 
1064: 265,259
1065: 108,1009
1066: 1207,1418
1067: 256,1164
1068: 828,437
1069: 129
1070: 1546
1071: 479,444
1484: 496,796
1073: 596,1172,1214,474,1052
1477: 776
1075: 528
1076: 1206
1077: 1043,398
1078: 1563
1079: 713,264
1080: 171,420,1789
1473: 457
1082: 1391,424,1355
1561: 1100
1084: 1191,279,421
1085: 1597,142
1086: 1633,692,1259
1087: 806,1264,355,144
1088: 903
1531: 1639,579,1442,209
1090: 1186,1260
1091: 1781
1092: 303
1093: 526,1551
1501: 744,1780
1664: 952
1096: 287,874,1156
1522: 943,1356,866,230
1098: 1678,309,1493,449
1099: 299,1679,1363,1394
1100: 1561,801
1101: 1780
1102: 1247
1103: 99
1104: 1402,1508
1476: 1013
1106: 
1107: 571,842,562,1357
1108: 990
1109: 1328,1172,1649
1110: 197
1111: 1403
1112: 
1113: 1403,1225,630
1114: 815,206
1115: 
1116: 273,1457
1117: 699,1519
1118: 657,547,176,1146
1119: 330
1120: 90,1552,1504,707
1551: 999,1093,175
1122: 1620
1123: 21,376
1124: 485,448,728
1125: 245,1129
1126: 1378,567
1696: 
1128: 1161,391
1129: 1125,720
1130: 909,187
1131: 344,1586
1132: 831,1783
1582: 96,962
1134: 526,1049,1286
1135: 1419
1136: 1656,310
1137: 381
1138: 
1139: 277,853,1684
1140: 572,1351
1141: 1023
1142: 97,1505
1143: 1627
1144: 738,535,1308
1145: 506,1627
1146: 1118,8
1147: 173,1637
1148: 439,1190
1149: 1443,1283,1436,1001
1150: 1529,577,632
1151: 341,291
1152: 442,1651
1788: 1648,846,1554,797
1154: 
1155: 1459,208
1156: 916,1437,1096
1673: 974,1675,1605
1158: 1536,1203
1159: 1392,1381
1160: 1312,783
1161: 1128,47,1787
1162: 232
1163: 1369
