1697: 
1: 910,537,111,1570
2: 158,365,890
3: 1035,1324,524
1390: 
5: 380,147,1142
6: 220,187,1452,1621
1545: 814,200
8: 1111
9: 690
1615: 
11: 1378,441
12: 715
13: 1336,56
1568: 894,1796
15: 1058
1430: 909,1549,509
1519: 370
18: 995,953
19: 1670
20: 903,1493
21: 
22: 741,752
23: 797
24: 129,1336
25: 1518
26: 1626
27: 1178
28: 192,451,851
29: 1508,1228
1420: 
31: 1075
32: 1452,1104
33: 146
34: 1278
35: 1338,1215
1404: 850
1574: 673,1242
1672: 437,40,945
39: 379
40: 1672
41: 933,428
42: 765,919,1301,607
43: 1387,1791,259
44: 1446
45: 656,970,808
46: 426,997,77
47: 194
1698: 766
49: 1528,931
1587: 774
51: 849
52: 514
1487: 955
54: 1191,798
55: 1391,1298
56: 13
57: 105,641
58: 1263,1060
1537: 1108
60: 434
61: 1530
1422: 367
1556: 1668,1202,492
64: 151,152
65: 1480
66: 454,552
67: 1649
68: 895,665
69: 348,247
1443: 1337,1001
71: 1442,1117
72: 243,98,368,947
73: 
74: 1343,1147,1175
75: 
76: 183,1270,1267
77: 951,426,46
78: 863,1407,1044
79: 740,1200,638
80: 1682,473
81: 1087,349,1632
82: 971
83: 858
84: 856,1795
85: 578,1122,193,736
86: 
87: 1148,1394,958,1164
1520: 1169,821
89: 1498,568,149,1235
90: 636,505,1214
1677: 842,1543
1692: 
1630: 
1594: 865,927
95: 502
96: 585,1792
97: 1212
98: 72,368,947
99: 
1529: 1298,1629,1012,1391,1313
101: 
1500: 1206
103: 1227
104: 1091,122
105: 1193,216,57
106: 1561
107: 1509,477
108: 1006,407
109: 1589,321
110: 
111: 682,1,910,537
1396: 1788,1492
113: 1173,1062,393
114: 1786
115: 1450,1131
116: 1782,807
117: 805,1185
118: 1100
119: 636
120: 781
1668: 1556,1202,1312
122: 104
1625: 1064
124: 774,868,1262
1601: 425,1269
126: 1216
1624: 1411,511,1043
128: 1311,488,1056,396
129: 24,1336
130: 375,1297
131: 759,992,440
132: 1353,1669
133: 794
134: 1551,947,1208,1533
135: 756
136: 1177
137: 594,1039
138: 
139: 1787
1446: 44
141: 1144,1229,1663
142: 1787
143: 1332,1527
144: 
145: 456
146: 33,656,229
147: 1255,5
148: 364,907,632
149: 1235,1412,89
1728: 1636,746,826,1524
151: 1609,64
152: 64
153: 
154: 1415,838
1693: 934,1345
156: 939,929
157: 1397,692,1688,1544,1278
158: 2,365
159: 626,1450,703
160: 
161: 
162: 1614,230,367
163: 792,414
164: 240,711,472,571
165: 
166: 
167: 854,1451
168: 
1607: 1312
170: 687,299
171: 956,416,1526
172: 237,848
173: 717,1791,1405
1498: 89,568
175: 301,180
176: 539,341
177: 
178: 
179: 1112,1673
180: 1017,175
1669: 132
182: 977
183: 76,495,444
184: 1369,896
185: 1025,275
186: 1442,964
187: 220,6,1549,509
188: 1275,556
189: 1457
1626: 26,812,1188
191: 1559
192: 799,28
193: 1122,770,85
194: 47,330
195: 
1590: 1054
197: 278,1406
1523: 1066
199: 993
200: 1545,1213
1468: 1161,1463
202: 1122,670,1110,446
1466: 1655,1168
